,F1-score,Precision,Recall
0.1,0.5823655913978495,0.7602470522178552,0.47194144301150226
0.2,0.5769336636388659,0.7318435754189944,0.4761472058155384
0.3,0.5722543352601156,0.6594504579517069,0.5054243777919591
0.01,0.6198770491803278,0.642023346303502,0.5992076592934962
0.001,0.6561804893549412,0.6324655436447167,0.6817431495543084
