,F1-Score,Precision,Recall,F1-score
0.1,0,0.17765151515151514,0.1346153846153846,0.15316786414108427
0.2,0,0.15340086830680175,0.09502465262214253,0.11735399944644341
0.3,0,0.12658227848101267,0.09724473257698542,0.1099908340971586
0.01,0,0.09987029831387809,0.19652884124553344,0.1324389404884761
0.001,0,0.09044670499778859,0.20877998979070955,0.12621509026384817
