,0
0,0.05241386564287888
1,0.5400818339349213
2,0.5732581603390783
3,0.0295503602683978
4,-0.012541002877301286
5,0.5452488453083781
6,0.375547394097666
7,0.14581197522438014
8,0.3086438810418838
9,0.5434062307010524
10,0.5616400973455296
11,0.8726938534395849
12,
13,
14,-0.04801996955145389
15,0.6990019687459031
16,0.5110705724205602
17,0.16241331759665345
18,-0.03695506906665708
19,0.10481629179764171
20,0.018469640991074395
21,0.7609656077577283
22,0.6586581139826023
23,0.1805772550399326
24,0.8295997369420597
25,0.44262121409312793
26,0.26088288743198235
27,0.02507961539969056
28,-0.013629545962337635
29,0.11509357184881962
30,
31,0.5784116318705463
32,-0.03640284867233424
33,-0.004075456235255567
34,0.23646665001478015
35,0.6728364407348777
36,0.7807822792755481
37,0.8182434827408775
38,0.24773536249188102
39,0.7593296891467181
40,
41,
42,0.254980781382748
43,0.4924153487288103
44,-0.023940350611514692
45,0.6057739587020452
46,0.3748448707854535
47,
48,-0.07391897818418697
