,Alveolar_Type_1,Alveolar_Type_2,B_cells,Basal,CD4_T,CD8_T,Ciliated,Club cell,DC,Endothelial,Fibroblast,Macrophage,Mast,Monocytes,Muscle_cells,NK,Plasma,Proliferating_Macrophage,Proliferating_NK_T
747,6.789535e-07,0.62706673,1.8600141e-06,3.1465618e-06,2.365632e-07,1.2517746e-07,0.0034293733,0.014616267,0.005772449,0.082272165,0.116827,0.06826644,6.5247384e-08,0.06513556,0.015569314,1.12989426e-07,0.0010375708,7.091989e-07,1.2967925e-07
748,1.8692468e-07,1.8468442e-07,5.869936e-07,2.1945971e-07,0.026267707,0.030704796,1.7317481e-06,1.2457188e-07,1.3798258e-06,0.1427792,1.9021284e-07,0.7684663,7.153054e-08,0.025318729,1.4054514e-07,3.5336686e-07,7.347923e-08,0.006456845,1.2084441e-06
749,0.0019199005,0.45930025,0.026293037,1.1862456e-06,0.10798592,2.333742e-06,3.3558565e-06,4.817889e-07,1.0791475e-06,0.3221833,1.3383648e-06,3.5209448e-06,5.8265084e-07,8.858256e-07,1.9724973e-06,0.076035365,4.4395455e-07,3.9253788e-05,0.006225798
750,1.2877231e-07,1.632776e-07,1.7898675e-07,1.11020846e-07,1.6014873e-07,9.8346604e-08,1.6039864e-07,0.0004693433,3.90118e-07,0.17191656,1.7416608e-07,0.8209115,0.00022033918,0.006458955,1.3357126e-07,1.1785228e-07,9.2428124e-08,2.1170594e-05,1.5442095e-07
751,2.5636712e-07,2.3698404e-07,1.0122391e-06,2.1468634e-07,0.09225844,0.1366388,1.5212119e-07,2.1503878e-07,0.25449654,4.9528217e-07,3.342959e-07,0.32712704,2.529272e-07,0.16655158,3.105897e-07,0.015798043,1.909821e-07,1.5905016e-05,0.0071099238
752,2.0947202e-07,2.0717067e-07,9.59467e-07,2.5877833e-07,4.8881675e-06,7.615245e-07,1.223514e-07,2.931496e-07,1.0676639e-05,0.18146707,0.0233662,0.40930754,4.3169783e-07,0.030505463,0.28932115,0.04342508,1.2825568e-07,0.017038262,0.005550273
753,3.018641e-07,1.4088134e-07,7.193107e-07,1.0019336e-07,0.027924296,0.026419247,8.898851e-08,9.3853984e-08,0.031610496,1.12650376e-07,1.6056629e-07,0.8350082,6.358333e-08,0.05739977,8.9816645e-08,0.021634178,7.519925e-08,1.0947066e-06,5.974611e-07
754,0.0050894665,0.22945131,0.0056406506,0.0023640343,6.703091e-07,8.82327e-07,0.30214092,1.7597431e-07,8.434159e-07,5.638329e-07,0.043008234,0.21138622,1.02596445e-07,1.4922755e-06,0.017958384,0.08950011,8.275615e-08,0.09345546,3.8598822e-07
755,8.632823e-07,0.48569864,0.004200645,3.7527118e-07,0.23173502,1.1489864e-06,1.3259884e-07,0.030065207,1.6447331e-06,0.24762097,2.8078628e-07,2.1782196e-06,1.1367275e-07,5.5309823e-07,0.00066393556,3.9230255e-07,1.6119432e-07,1.8626174e-06,5.927064e-06
756,1.4014078e-07,1.3492915e-07,5.159259e-07,1.5036309e-07,1.9362597e-07,1.6570868e-07,0.16885811,7.17234e-08,0.0030849036,6.773961e-08,1.0456132e-07,0.827993,4.564458e-08,2.3066684e-06,2.4856809e-07,1.206587e-07,5.715916e-08,5.956393e-05,1.4593778e-07
757,0.030639762,0.3987851,2.2912704e-07,0.0072415057,3.9361896e-07,1.5761067e-07,2.06464e-07,0.0077308426,4.7950766e-06,1.3739499e-07,2.517445e-07,0.5555084,5.504973e-08,8.6457876e-05,1.3129007e-07,1.3000674e-07,5.118268e-08,1.1078987e-06,2.1555343e-07
758,1.0640961e-06,0.70910317,1.4456718e-06,4.082887e-06,0.004474825,0.10513842,6.9564994e-05,0.0055152145,2.1648127e-07,0.17568885,3.6839114e-07,1.7616259e-07,1.3538993e-07,3.0783212e-07,5.134405e-07,8.351656e-07,9.8786025e-08,1.7953329e-07,4.5784398e-07
759,1.4849527e-06,0.3193047,6.050174e-07,0.0054187225,5.4748836e-07,4.839e-07,5.5620154e-07,0.01631699,3.2705342e-05,2.1279075e-07,0.07530174,0.50336176,6.296688e-08,0.016178975,1.9979243e-06,0.0640479,5.6015676e-08,2.730177e-05,3.1651432e-06
760,3.263816e-07,3.6694692e-07,9.3070355e-07,2.1418444e-07,0.036202703,8.369262e-06,9.2792085e-08,0.0023313311,7.1267925e-07,0.20662595,4.8831e-07,0.5861,0.00011088597,2.3378288e-06,0.009146564,0.070596434,9.964263e-08,0.088871345,7.819443e-07
761,2.029501e-07,1.2894034e-07,1.1049842e-06,1.4903264e-07,0.028684745,0.008545425,1.0360873e-07,2.0904942e-07,4.862154e-07,3.5980906e-05,1.6930298e-07,0.9627232,8.450009e-08,4.7232635e-07,1.4284272e-07,4.3150442e-07,7.312945e-08,6.5261543e-06,3.6303155e-07
762,8.1001264e-07,5.3332826e-07,3.7877857e-07,0.09981806,2.6539817e-06,6.959896e-06,0.49764872,4.90066e-07,7.1675e-07,0.063802816,4.115167e-06,0.21557018,0.00212519,0.12101552,2.4839474e-07,3.1595604e-07,9.882904e-08,1.8274009e-06,3.604797e-07
763,2.3729417e-07,1.8946052e-07,6.94578e-07,2.2313485e-07,0.05418048,5.8271127e-07,1.6793379e-07,6.768477e-05,8.847196e-07,0.06392745,3.5030604e-07,0.75812376,1.8122695e-07,0.12362332,3.6140034e-07,4.779753e-07,1.7034299e-07,7.219216e-05,4.878344e-07
764,2.1273668e-07,1.3806755e-07,5.745644e-07,3.0393662e-07,0.0026716827,0.028994039,9.72904e-08,0.005090838,0.647535,0.28438383,5.5741015e-07,4.642059e-06,0.0015485734,1.0779768e-06,3.217932e-07,0.015058571,0.014706986,8.8358775e-07,1.7667969e-06
765,2.393219e-07,1.7990833e-07,0.007393989,4.3607312e-07,0.12181337,0.10921793,0.0024399816,0.003490346,0.008142908,0.29385662,0.4198474,1.4076143e-06,2.8228612e-07,1.3265026e-06,0.0015426746,0.032246765,1.4034022e-07,8.864299e-07,3.250958e-06
766,5.087181e-07,7.6558763e-07,3.0018273e-06,5.4987635e-07,0.38851103,0.127737,4.45838e-07,3.643197e-07,1.2759386e-06,0.39686197,4.549844e-07,4.815786e-07,2.8997403e-07,1.0858611e-06,5.392419e-07,0.08687779,4.351187e-07,4.4243086e-07,1.5874659e-06
767,2.2065382e-07,1.752452e-07,1.1162201e-06,2.1660217e-07,0.1739895,0.037150707,1.1922123e-07,0.012476269,7.642716e-07,0.35362518,4.006054e-07,2.7746856e-07,1.7747452e-07,0.40777835,1.3898423e-06,5.3043523e-06,1.6239315e-07,2.5123714e-07,0.014969487
768,3.8762343e-07,0.10058833,3.6237618e-06,2.6959347e-07,6.05889e-07,2.0336682e-07,9.9967195e-08,0.006620457,0.54338914,0.254572,3.5059335e-07,2.673773e-06,1.1607755e-07,0.09353777,1.7828293e-07,1.5171116e-07,0.0012828575,6.150194e-07,2.5314318e-07
769,1.13636766e-07,1.0652531e-07,0.010063858,1.1794533e-07,0.090693876,0.083706595,6.8816846e-08,1.9634143e-07,0.016135782,0.09045949,1.6600251e-07,0.6728856,8.344355e-08,0.03311205,1.7196952e-07,1.2693743e-06,1.14256274e-07,0.0029387379,1.5696418e-06
770,2.453331e-07,2.1307845e-07,0.01758027,2.437617e-07,0.082768604,3.2641035e-06,2.1264687e-07,0.005367359,4.5187224e-07,0.517861,3.6444573e-07,1.9522496e-07,1.4309192e-07,5.121219e-07,1.1277534e-06,0.3496944,0.0040188776,2.0635028e-07,0.022702318
771,2.1871547e-06,2.1798809e-07,0.09314563,0.0047244965,0.053113192,8.7867943e-07,0.0024618742,0.015522803,0.22179812,0.07720787,0.38569376,3.396056e-07,1.3781582e-07,0.0049827932,1.0971403e-05,0.091434196,1.8320438e-07,3.0764596e-07,0.04990011
772,0.035343807,1.4519681e-07,8.642282e-07,0.0075582997,2.525911e-06,4.745496e-07,0.32005098,1.2337145e-07,1.7699267e-06,2.3268201e-07,1.552725e-07,0.34627083,0.18156679,0.05072807,7.736585e-07,0.053804506,7.2484305e-08,2.69217e-05,0.004642567
773,1.1688868e-07,7.0227806e-08,1.979011e-06,1.0120295e-07,1.5974828e-07,1.3572269e-07,3.063072e-07,0.0033894798,4.6487344e-06,0.015916685,1.01235e-07,0.25197893,3.7194084e-08,1.2853154e-05,3.084516e-06,1.7003514e-07,4.566853e-08,0.63133365,0.097357474
774,5.29953e-07,0.0042331438,9.185441e-07,2.4895348e-07,3.3128126e-07,1.9380799e-07,9.3239166e-08,1.1565501e-07,0.12753116,1.9332876e-07,7.0696706e-07,0.7097596,1.02480236e-07,0.15476242,0.003708505,1.8326853e-07,1.7087187e-07,1.2230181e-06,2.7736962e-07
775,3.4165572e-07,0.36018264,3.030061e-07,4.9843004e-07,0.0046162247,6.909152e-07,7.4633185e-08,0.007910775,3.954998e-07,0.286049,9.329799e-07,0.29641858,8.045909e-08,0.029700872,1.4782921e-07,0.015113327,6.6056316e-08,4.1788007e-06,7.707212e-07
776,0.14655992,0.26990083,3.8974645e-07,0.0035509649,0.0010996142,0.00013079142,7.496581e-08,9.0984166e-08,0.07478721,0.0011484607,0.21597418,0.26413786,6.9934494e-08,0.016937243,0.0057713655,2.2509265e-07,6.599448e-08,4.0122407e-07,2.4418696e-07
777,0.22501443,1.3723884e-07,7.3322695e-07,0.0042577838,0.0064341663,5.1416004e-07,0.0019117597,0.008577837,9.834632e-07,0.25182244,8.672141e-07,0.21306263,0.07341517,0.15262844,0.0070323073,0.055825002,7.952196e-08,1.3127382e-05,1.4127212e-06
778,5.200942e-07,1.0282016e-06,1.0900175e-06,4.0293196e-07,3.4793864e-06,5.434047e-06,2.1431127e-07,0.018047726,5.1141996e-07,0.3628744,5.299997e-07,4.7917183e-07,2.9812463e-07,4.9775446e-07,5.130334e-07,0.6190471,2.3129185e-07,6.643101e-07,1.4870627e-05
779,8.162745e-06,0.7431587,1.7374761e-07,0.005269748,0.083467364,0.030732254,0.0003918281,0.13131836,5.266666e-07,0.0042016646,0.0014436448,1.5138818e-07,7.134746e-08,4.5692568e-07,7.3299236e-07,7.9831915e-07,6.855166e-08,1.2274931e-07,5.1040074e-06
780,0.0019269006,2.0641743e-07,1.14364e-06,6.841219e-07,0.04945825,6.510547e-06,7.2881164e-07,0.015276713,3.5253274e-07,0.74162406,2.8855936e-07,3.4715399e-07,0.0009072464,4.5950657e-07,6.14578e-07,0.19079451,1.3588372e-07,2.4696314e-07,5.5011054e-07
781,0.00034857626,0.81927603,1.5229886e-06,1.1414681e-05,5.6869794e-07,1.7173782e-06,1.6800893e-06,0.04707978,4.7824677e-05,1.010121e-06,3.6701053e-07,0.08481205,1.2492856e-07,0.0047947546,3.62074e-07,0.043617804,1.0415257e-07,3.7679167e-06,6.715022e-07
782,1.602227e-07,1.6007913e-07,0.003384102,3.7459046e-07,3.5110878e-07,1.5565261e-07,0.67436534,1.4967542e-07,0.09275839,0.2007572,2.3972925e-06,3.172087e-07,6.5562446e-08,0.010112459,3.2759635e-07,1.2916185e-07,1.3029126e-07,9.1696813e-07,0.018616792
783,2.8018674e-06,0.110029,8.7844387e-07,0.010603106,5.962755e-07,1.1662673e-06,0.43668464,8.099292e-08,0.10161762,7.010033e-07,3.2324692e-06,0.22586522,5.9307308e-08,0.11393584,0.0012533249,2.4310123e-07,7.779237e-08,1.0117901e-06,4.5673096e-07
784,1.028394e-07,9.329063e-08,2.955448e-07,1.4295321e-07,0.045603428,2.5543116e-07,2.9396952e-07,1.6722805e-07,8.8369114e-07,0.022037132,7.7037026e-07,0.7044429,6.679631e-08,3.9609233e-07,0.2278547,1.7047428e-07,7.685881e-08,5.774813e-05,3.0062577e-07
785,1.3060924e-07,1.3108466e-07,6.226162e-07,2.3370183e-07,0.01976161,1.7111232e-06,1.170772e-07,6.96454e-07,0.039314985,0.33622906,5.9473314e-07,0.51266485,9.852128e-08,0.011807795,2.1465463e-07,0.07945807,9.048758e-08,0.0007567903,2.159962e-06
786,3.1204905e-07,2.7608246e-07,0.035358287,3.948349e-07,2.1991334e-06,4.888729e-07,2.321488e-07,2.0395717e-07,7.5426406e-06,0.19845456,3.523051e-07,0.6625995,2.2758464e-07,0.047049463,1.0841013e-06,7.506425e-07,1.4560324e-07,0.056522492,1.4772552e-06
787,5.2952646e-07,0.0012179986,4.9307107e-07,1.7782067e-07,2.664379e-07,1.5122593e-07,5.699949e-08,1.9007886e-07,8.0898184e-07,0.13760109,1.7315337e-07,0.58614373,8.177097e-08,0.27307853,0.0019531942,1.2667479e-07,2.0097221e-07,1.8742453e-06,2.0655197e-07
788,1.6241405e-07,1.269311e-07,0.01370032,2.1770396e-07,2.3171557e-07,1.457677e-07,9.543843e-08,0.007524038,3.0028002e-07,0.4672308,1.276713e-06,1.2797884e-07,7.329347e-08,1.8604644e-07,0.51154137,1.4697514e-07,8.230254e-08,1.18612306e-07,2.3199132e-07
789,1.1924793e-07,9.7179644e-08,3.5326875e-07,1.291314e-07,2.7763093e-07,3.3815218e-07,2.8592711e-07,1.0016477e-07,5.1448006e-07,2.4086063e-07,1.6646023e-07,0.8715613,0.0005393629,1.4874614e-06,1.9006782e-07,0.12788469,7.791456e-08,9.436727e-06,7.339957e-07
790,0.016862903,0.094052374,3.4280166e-07,0.00811503,3.367296e-05,0.03995889,1.8412109e-07,0.6335618,3.381146e-07,0.00631344,0.068686076,5.6684144e-07,8.388087e-08,0.121717304,0.008724018,1.3210366e-06,0.0019707272,5.0954145e-07,4.6358443e-07
791,1.1915263e-06,1.6868586e-07,5.583607e-07,1.6230149e-07,0.04890344,0.009470656,6.1222714e-08,0.0061377385,1.2514518e-05,0.4183038,3.1703294e-06,0.48841766,6.447797e-08,0.018468324,0.010276194,2.7346047e-07,6.8888966e-08,3.4604866e-06,4.5765054e-07
792,6.8099453e-06,0.03081473,1.2575761e-06,0.06269251,4.4717194e-06,0.18967088,0.65783477,6.155432e-07,1.399782e-06,5.2728484e-07,5.514124e-07,3.322751e-07,2.266752e-07,6.093991e-07,6.273873e-07,9.105493e-07,3.262669e-07,3.0661434e-07,0.05896813
793,3.285267e-07,2.8368308e-07,6.889549e-07,5.7118416e-07,0.27295977,6.6980224e-06,1.370655e-07,1.6847493e-07,1.0318206e-06,0.2642214,4.298472e-07,0.38140061,2.475011e-07,0.018680247,4.539973e-07,0.06272257,1.991245e-07,2.6370205e-06,1.4715617e-06
794,1.221814e-06,0.70188236,0.004763728,1.6901498e-06,0.11327543,0.000304226,1.1366701e-07,0.06839566,3.885559e-06,0.10643087,4.7069466e-07,1.0441503e-07,0.00092911255,0.0028700184,0.0011403522,1.800395e-07,7.470053e-08,9.9216514e-08,2.508559e-07
