,Astro_AMY,Astro_AMY_CTX,Astro_CTX,Astro_HPC,Astro_HYPO,Astro_STR,Astro_THAL_hab,Astro_THAL_lat,Astro_THAL_med,Astro_WM,Endo,Ext_Amy_1,Ext_Amy_2,Ext_ClauPyr,Ext_Hpc_CA1,Ext_Hpc_CA2,Ext_Hpc_CA3,Ext_Hpc_DG1,Ext_Hpc_DG2,Ext_L23,Ext_L25,Ext_L56,Ext_L5_1,Ext_L5_2,Ext_L5_3,Ext_L6,Ext_L6B,Ext_Med,Ext_Pir,Ext_Thal_1,Ext_Thal_2,Ext_Unk_1,Ext_Unk_2,Ext_Unk_3,Inh_1,Inh_2,Inh_3,Inh_4,Inh_5,Inh_6,Inh_Lamp5,Inh_Meis2_1,Inh_Meis2_2,Inh_Meis2_3,Inh_Meis2_4,Inh_Pvalb,Inh_Sst,Inh_Vip,LowQ_1,LowQ_2,Micro,Nb_1,Nb_2,OPC_1,OPC_2,Oligo_1,Oligo_2,Unk_1,Unk_2
0,1.1598406e-06,0.023428475,1.2375809e-06,1.8418841e-06,0.05693541,5.0892015e-07,0.021847859,0.046669908,2.5205318e-05,0.00023068704,0.06832031,4.824536e-07,4.5462357e-06,3.9587906e-07,4.3487216e-07,0.0011690642,0.009458889,2.175839e-07,2.049467e-07,3.8190058e-07,2.9578555e-07,4.427633e-07,2.1790781e-06,0.009533214,9.154592e-07,5.9615877e-07,1.7624644e-06,0.003744191,0.014579403,0.09853611,0.097274505,6.43565e-07,0.08575148,0.09443029,7.0281857e-07,0.057280958,9.587554e-07,2.0462248e-06,0.089600764,0.032759137,0.015833493,4.2201503e-07,8.6256354e-05,4.995006e-06,0.079063125,0.05254654,7.5805833e-06,2.7940621e-05,0.00800465,1.4488735e-06,0.009850948,2.057874e-07,2.0307172e-07,7.55255e-07,0.00021207482,0.020252591,1.2327769e-06,1.5359797e-07,0.0025074885
1,2.4625357e-05,0.09488049,7.128948e-07,0.015770668,8.8096516e-07,1.4836336e-06,5.2711966e-05,1.3127068e-06,1.0677545e-06,0.16683474,0.120837875,0.00014910071,0.08483032,0.07631159,4.3228522e-07,1.1246783e-06,0.01184882,9.806754e-07,6.457671e-07,1.9211486e-06,1.1165122e-06,5.6033497e-07,0.028513277,9.53469e-07,3.8338812e-06,0.0100472495,3.1217999e-06,5.529789e-06,0.15312329,2.9520422e-07,6.220529e-07,3.511862e-05,2.074894e-06,5.334044e-07,5.1264133e-06,6.367774e-07,4.8010486e-07,5.366937e-07,2.0487537e-06,0.00030531475,0.015056302,1.0535388e-06,1.63405e-06,1.1725698e-05,1.4385017e-06,2.2155768e-06,1.0738112e-06,0.035761904,0.18555613,4.0685538e-07,9.603456e-07,3.8630876e-07,2.6938318e-07,3.7540747e-07,9.003198e-08,8.851666e-08,7.800956e-08,2.0173029e-07,5.6118296e-07
2,0.006513172,0.016107626,0.00083925034,0.029435389,0.0008223441,0.0051454436,0.0060162386,0.00012345317,0.00046075898,0.035334293,0.037038356,0.0014262352,0.029255012,0.029765654,5.749071e-05,0.000562007,2.5532645e-05,7.4371346e-05,6.2441766e-05,0.033221833,0.03432712,0.035664406,0.035531927,0.03530289,0.010394962,0.035105504,0.035444275,0.035594027,0.0006115296,2.1614418e-05,3.624332e-05,5.6949684e-05,0.034582436,0.009017973,4.821152e-05,0.033207104,0.026059115,0.0002793492,0.03536176,0.0336958,0.01748444,0.0027512687,0.007509071,0.0059451745,0.034747753,0.03471223,0.033584986,0.025071397,0.030614136,0.035541587,0.00991176,0.024405241,0.0095868595,0.015562386,0.007903113,3.7462289e-07,9.4189795e-07,0.033171225,0.008865938
3,2.84513e-06,0.043547306,0.019744143,3.1168686e-06,8.174413e-07,7.2193734e-07,1.4055461e-06,7.066087e-07,7.3363873e-07,0.047394488,0.13353209,8.168679e-07,0.089543395,0.09045803,7.996025e-07,1.2161187e-06,1.1913415e-06,1.8549506e-06,8.962894e-07,0.067268096,2.7662106e-06,0.018308107,5.8122023e-06,3.60948e-06,6.21556e-07,0.119936824,1.5251927e-06,0.057701405,0.090054534,2.9003309e-07,3.724488e-07,1.4536709e-05,9.507758e-06,4.588477e-07,4.0464232e-07,7.3341783e-07,4.6871358e-07,3.86827e-07,0.009767469,9.0284766e-07,0.066150054,1.8249116e-06,1.9169931e-06,5.533547e-07,6.076569e-07,0.07365657,1.8281718e-05,0.03120066,0.029053036,1.027509e-06,0.0125947725,7.471277e-07,2.7350204e-06,3.968899e-07,1.1791929e-07,6.022563e-08,6.544809e-08,6.1240473e-07,4.9844874e-07
4,0.07461579,0.03672285,6.952447e-07,0.00013769088,5.076639e-07,2.8420434e-06,0.0016649144,4.5288732e-07,6.5324224e-07,0.0623039,0.096575275,0.00210733,0.088360935,0.02468283,2.7483622e-07,5.884742e-07,3.2711134e-07,4.7963404e-05,2.5410168e-06,0.08944978,4.5379633e-07,1.0603751e-06,0.0561874,7.5087115e-07,1.8567953e-06,0.08449502,0.014363458,0.015329865,0.0894436,1.7711055e-07,3.3074267e-07,0.025301553,0.015493267,4.3444376e-07,1.0136474e-06,5.6375603e-07,6.4779624e-07,6.1164206e-07,0.07249349,0.04034559,0.020234387,2.1919652e-06,0.009809233,0.035579205,1.2036651e-06,8.726759e-06,0.024928879,1.6151512e-06,0.013150487,2.8681063e-07,0.003578099,1.4287509e-06,5.862594e-07,1.4569074e-06,7.503778e-08,3.2224445e-08,4.0367556e-08,1.1726707e-06,0.0025616584
5,5.750432e-06,8.253713e-06,6.393846e-07,1.5410657e-06,0.055697467,1.6503413e-06,0.032873105,3.4322964e-06,0.0023916964,0.044612266,0.058880523,5.654667e-06,3.0751625e-07,1.233815e-07,7.45612e-08,7.4418054e-08,8.353543e-08,9.910617e-08,1.0188427e-07,8.941074e-08,8.981512e-08,1.1213475e-07,1.07709674e-07,1.3476283e-07,2.8566373e-07,9.708065e-08,1.9825899e-07,6.355933e-07,1.4839951e-07,1.3115769e-07,1.5743892e-05,8.824925e-06,0.059429042,0.057638288,0.059710193,0.058794618,0.05957133,0.05994311,0.058323763,0.057324428,0.016252069,0.029062595,1.0600008e-06,5.9408444e-07,0.031353783,0.025488565,0.05488164,0.057385013,0.009363501,0.00037628095,0.009538974,0.023285702,0.04055296,0.010587273,2.1599041e-07,6.61293e-08,7.289724e-08,1.4500124e-05,0.026610885
6,0.0042835525,0.027195493,1.5520061e-05,0.03241614,1.4494255e-05,0.001488826,0.0026243806,2.741375e-06,3.6429633e-06,0.0398875,0.043057907,0.016151577,0.035194557,0.043389436,1.2277982e-06,5.202938e-06,0.028779795,4.269292e-06,3.817486e-06,0.031250637,7.173262e-05,0.041182496,0.04038797,3.5851565e-06,0.040978707,0.042205513,0.04251698,0.037868965,4.5945408e-06,6.327429e-07,3.308652e-06,8.080726e-06,0.03215904,0.035663296,1.0126332e-05,6.136659e-06,0.025730792,0.004957828,0.024786295,0.029297583,0.00018109108,0.03455516,0.008945122,0.0133327795,0.00040565396,4.602752e-06,0.012803748,0.040201172,0.019754529,0.03227735,0.007497105,0.03803905,0.018166123,0.013754932,0.0023137236,0.0014542725,4.154339e-07,0.039023627,0.013675177
7,0.01688485,0.034035232,0.00081180525,0.009250463,0.00034404197,0.0026396676,0.0036347874,4.7255955e-05,5.7868972e-05,0.034659863,0.03721688,0.036048535,0.036548663,0.034044642,0.00014463873,0.0021246725,0.023235625,0.0003442176,0.00042512192,0.0013805103,2.4191879e-05,0.005533198,0.03326169,0.017792484,0.034917016,0.034215953,0.032321315,0.019309884,0.035271753,3.189407e-06,5.353621e-05,0.0341864,0.033919908,0.017834252,0.03244821,0.0034038688,0.0242394,0.032072477,0.033030573,0.027546244,0.0023118246,0.03474654,0.01164721,0.031398978,0.004812154,0.0065330593,0.0013707354,0.029921142,0.028915515,0.034276493,0.008650339,0.033821367,0.008506199,0.0052416734,4.4144602e-07,1.0204458e-07,2.5982138e-07,0.01771367,0.014867477
8,3.4056757e-05,2.080258e-06,6.2528795e-07,5.847561e-06,0.14698972,4.704822e-07,0.07336146,1.3213697e-06,0.0004669211,0.06384071,0.069516174,9.154733e-06,1.724843e-06,2.30655e-07,3.4202125e-07,3.5363877e-07,3.4380764e-07,4.1796335e-07,3.7170997e-07,2.664146e-07,1.766003e-07,2.8345087e-07,2.9299832e-07,6.186138e-07,8.175991e-07,2.9408076e-07,3.443658e-07,2.8948347e-07,9.4913867e-07,3.202616e-07,1.1448565e-06,1.4384217e-06,0.011871323,1.8171118e-06,0.14947966,0.00087724684,0.1438426,0.14669481,0.05424795,0.010645113,5.808647e-07,0.077321716,1.9461972e-06,3.0112751e-05,1.37437e-06,6.968569e-07,0.0019333736,6.4849866e-07,0.0056578186,3.4410905e-07,1.0722641e-07,5.927505e-07,3.6091956e-07,8.098375e-07,0.019373165,0.023775702,3.0997865e-07,2.3298794e-07,2.779609e-07
9,0.01692591,0.037525862,0.00023772506,0.018258344,3.2728153e-06,0.005458107,0.0030156341,2.386399e-06,3.056144e-06,0.038832534,0.04228065,0.0013287871,0.038847364,0.03930186,3.1253564e-06,0.0068250205,3.6172823e-06,3.618089e-05,1.1002684e-05,0.04010809,0.0406267,0.03986694,0.04122414,0.03869431,4.679814e-06,0.039740227,0.038126312,0.040659904,0.03855121,1.8050575e-06,0.0030112755,0.010137637,0.03918689,0.015264326,8.160883e-06,0.013561851,5.579987e-05,7.902376e-06,0.03949043,0.037271015,0.01638145,0.0011153189,0.02841215,0.02183413,0.023089293,0.037789818,0.010515377,0.013903008,0.024933819,0.039113145,0.004539992,0.0058823517,1.8439249e-06,5.771145e-06,7.161976e-08,4.70818e-08,6.748395e-08,0.007901977,8.031068e-05
10,1.8356586e-06,0.00497347,7.145095e-06,0.03224633,0.024609914,1.4039737e-06,0.00016705225,0.12911785,0.034150735,7.818157e-05,0.06147395,2.0073834e-07,2.2133891e-07,3.5238156e-07,3.6264646e-07,5.702465e-07,4.0368096e-07,1.7248611e-07,1.5677612e-07,3.6854323e-07,1.2400797e-06,1.0272681e-06,6.71831e-07,8.1785186e-07,3.077071e-07,4.5855833e-07,8.7555014e-07,3.5993776e-06,2.5719538e-07,0.14177154,0.13916627,1.6401029e-07,0.033805095,0.13283734,2.4386523e-07,0.057792448,4.7093755e-07,4.3933989e-07,0.054774955,0.026792925,6.138608e-07,2.7703163e-07,1.2511438e-06,3.684793e-07,0.010450586,0.05082487,3.707943e-07,4.1760586e-07,1.3549609e-06,2.5036102e-06,6.228574e-07,1.9864933e-07,1.9851981e-07,1.6883192e-05,0.006169109,0.041649103,0.017098682,3.2743839e-07,6.302412e-07
11,0.0007057467,2.1317464e-06,5.798958e-07,3.6301933e-06,0.08066922,9.235233e-07,0.03340283,1.6415548e-06,0.02608179,0.07416719,0.08710465,3.7221673e-07,1.7262677e-07,1.1083589e-07,7.725575e-08,1.1274892e-07,1.0892654e-07,1.07434495e-07,1.0997183e-07,8.915818e-08,9.632951e-08,1.0231883e-07,1.0440009e-07,1.1366829e-07,2.2727694e-07,1.03264576e-07,1.4890406e-07,2.2356967e-07,1.3018384e-07,1.3077313e-07,2.7650526e-07,3.1343814e-07,0.08875046,0.0038202053,0.090666205,0.08549492,0.089525945,0.09033551,0.08510116,0.065666646,3.7534335e-07,0.01968092,3.614597e-07,3.7476272e-07,0.00061520934,8.702807e-06,4.2011812e-05,0.044575863,0.0026193608,2.1881142e-07,1.5560232e-07,8.5222956e-07,1.8298483e-06,3.3498504e-06,0.02337659,0.0014474111,5.930312e-07,2.712499e-07,0.006121082
