,Alveolar_type_1,Alveolar_type_2,B_cells,Ciliated_cells,Club_cells,DCs,Endothelial,Fibroblast,Mac_Mono,Mast,Neutrophils,Plasma,T_cells
779,1.1273525e-09,6.352466e-10,0.5677111,0.0020890222,9.389195e-10,0.023197439,9.943909e-10,5.793305e-10,0.3325144,0.000290196,1.11105924e-08,3.904637e-09,0.074197866
780,1.9393356e-09,6.7784994e-10,1.7047766e-08,0.00028767597,1.4860287e-09,0.09277381,0.051311042,0.5575011,1.5731013e-08,1.6737312e-09,1.6181746e-08,0.005929647,0.29219672
781,4.3032364e-10,2.8013314e-10,0.2262844,1.5308599e-09,4.1152246e-10,0.24006985,4.2836112e-10,2.4181687e-10,0.23891015,1.3907447e-09,0.23126541,0.009100242,0.05437003
782,0.024007304,0.2844944,0.11460188,0.015594712,2.4515625e-09,3.7275828e-07,8.0588747e-10,3.7732995e-10,0.192648,1.2596302e-09,0.08668736,7.017093e-09,0.28196594
783,5.949442e-10,3.5066713e-10,0.06972747,1.1276894e-09,4.4439039e-10,0.25610393,5.924733e-10,1.5801074e-09,0.25172976,1.411705e-09,0.26382506,1.6496036e-09,0.1586138
784,1.2234169e-09,5.6214666e-10,0.17048363,2.8627103e-09,9.816699e-10,0.41741386,0.033303436,0.15834565,6.3669554e-09,2.3429292e-09,7.2360655e-09,0.028990194,0.19146319
785,0.0032086114,6.3531e-10,0.14421794,7.209598e-07,0.00023516925,0.14529382,1.0926784e-09,1.7983641e-10,0.14523624,0.14248662,0.1444106,0.13169391,0.14321637
786,1.5933636e-09,0.22946282,0.029140638,1.4621596e-09,5.139194e-10,0.022278138,4.028203e-10,2.4271601e-10,0.23837346,8.365092e-10,0.23595054,0.24479435,2.4251021e-09
787,1.1706403e-09,7.2770284e-10,0.3477105,0.00044878604,1.215088e-09,0.0016633223,1.630217e-09,7.43032e-10,0.4834747,2.7420082e-09,0.068130694,2.5981345e-08,0.098572
788,2.509966e-09,8.258344e-10,0.3534965,0.0051657255,1.3378652e-09,1.3401659e-05,0.020110378,0.0033352622,0.032897893,2.3688262e-09,0.08575435,3.3426424e-08,0.49922645
789,0.09520857,0.35224038,3.2067569e-09,0.0076106805,2.6142882e-08,2.004395e-09,0.33808506,0.1578086,1.6672258e-09,8.978517e-10,1.4353826e-09,0.049046587,2.7015017e-09
790,0.035382636,0.5487804,0.025793051,0.014438207,9.217987e-09,0.008342893,4.199301e-09,7.511466e-10,0.073992744,2.8917306e-09,0.16519396,9.431474e-09,0.1280761
791,0.34154537,7.288717e-08,1.2173666e-08,0.1517194,0.00837327,3.366336e-09,0.010015208,0.28047296,3.4014243e-09,0.0013803133,0.13073501,4.6328488e-09,0.07575843
792,0.01564059,4.5879514e-10,3.6623497e-08,0.004584528,6.2687016e-09,5.4723768e-09,0.23092332,0.24411452,6.23671e-09,0.24872501,0.010103012,0.245909,3.0738676e-08
793,5.3608995e-10,3.2385025e-10,0.12411464,1.2322842e-09,5.3221894e-10,0.3100292,5.999229e-10,3.1909012e-10,0.25065938,2.003006e-09,0.054773692,0.21205479,0.04836834
794,4.4185072e-10,3.0243938e-10,0.083948895,5.7567524e-09,4.84074e-10,0.25767717,7.058606e-10,3.1132558e-10,0.21234165,1.1028334e-09,0.15213636,0.29389593,3.1358676e-09
795,5.3066347e-09,1.0883704e-09,2.5004825e-09,0.0024310302,1.2401298e-08,2.2518696e-09,0.031965476,0.57237345,2.8606721e-09,0.39323002,3.119849e-09,5.349929e-09,3.7706926e-09
796,0.22766323,0.23552144,0.14590971,0.03412794,0.06135733,0.23048699,6.7409217e-10,2.9393832e-10,5.1204596e-09,6.9476624e-10,0.015552678,0.049380697,2.8799345e-09
797,6.3185e-10,3.5308725e-10,0.013643258,1.0014565e-09,5.0381965e-10,0.18871331,6.6120376e-10,3.5634662e-10,0.36186492,1.2769804e-09,0.06149931,2.2648543e-09,0.37427923
798,1.2383161e-09,5.4318e-10,0.16999932,3.1122909e-09,1.0504022e-09,4.0612975e-09,0.39825714,7.461521e-10,2.5947264e-09,3.3122136e-09,0.018377738,8.399168e-09,0.41336584
799,1.328461e-09,6.303884e-10,4.095928e-08,7.1521042e-09,1.403192e-09,0.14563261,0.29907215,8.9887575e-10,0.24317122,0.20862512,0.10349888,5.96035e-09,4.9201163e-09
800,1.2673406e-09,4.117001e-10,0.07651449,0.0030820863,1.8351748e-09,0.018976344,0.2870574,1.2746119e-09,0.20430566,3.0877894e-09,0.11844246,1.0845824e-08,0.29162154
801,1.3364871e-07,7.874175e-10,1.5444257e-08,0.08123204,2.3410301e-08,1.06496465e-08,0.17736615,0.25593698,0.12864314,5.871044e-09,0.03771944,0.0639221,0.25518003
802,1.5207492e-08,4.647429e-10,0.03827711,0.0009343024,1.0460119e-08,0.20756064,0.02663948,0.20373663,0.21455374,1.385609e-06,0.21054205,3.1583822e-09,0.09775461
803,1.1237443e-09,7.5246376e-10,0.0056499303,8.92139e-09,9.671486e-10,6.536742e-09,9.758725e-10,6.4926087e-10,3.6959777e-09,0.00090701424,3.4796144e-09,0.67026335,0.32317966
804,3.408021e-09,1.1323337e-09,0.022349939,1.1551219e-07,2.6491627e-09,1.9544826e-08,0.22247744,0.49407032,0.07271487,3.6278334e-09,0.029264051,2.3443535e-08,0.15912327
805,8.526436e-08,3.6874256e-10,0.11679221,0.079451874,0.15420671,0.15553898,7.59663e-10,2.4315028e-10,0.15839344,0.1549303,0.15381314,1.9466708e-09,0.026873212
806,0.034576833,0.39481708,0.060894888,0.0008899514,4.3050574e-07,0.073461875,0.39030096,3.0078946e-09,7.68711e-09,1.7294401e-09,0.045057945,6.227898e-09,5.822077e-09
807,1.3676826e-09,3.5711917e-10,0.02868485,0.00023115482,1.0861378e-09,1.09636895e-08,0.20856404,0.18442166,0.23955275,1.897709e-09,0.09089959,0.24764596,1.2680825e-08
808,1.4083601e-08,1.1552038e-09,0.02542572,0.035894208,1.464647e-08,3.0653382e-08,0.06751363,0.47942364,6.031461e-08,4.627903e-09,5.2074407e-09,0.004134011,0.3876087
809,0.1688174,0.17554167,0.06983142,0.088061094,0.060490206,1.7519062e-08,0.17592925,0.17481923,1.1223057e-08,4.077544e-09,2.2310398e-09,0.072760984,0.01374881
810,3.3893637e-09,1.2160557e-09,1.0862423e-08,0.06720207,2.396521e-09,9.115575e-09,0.32184297,0.425915,0.1087408,2.3368678e-09,0.027466565,4.3209947e-09,0.048832547
811,1.866751e-09,7.223434e-10,1.3171483e-08,0.0027210952,2.9035092e-09,2.3044042e-09,0.4353501,8.8824004e-10,2.2931468e-09,0.16345449,2.1128177e-09,0.2868899,0.111584365
812,1.3362152e-09,7.260617e-10,0.29001987,0.0029332526,1.1853281e-09,3.5383194e-09,1.2611701e-09,6.492115e-10,3.0829008e-09,1.6779738e-09,3.7455092e-09,0.6721075,0.034939397
813,2.5957136e-09,7.7174495e-10,0.13893418,5.4049327e-08,1.2793867e-08,0.032968014,0.015099598,0.41720507,0.051847916,1.8631314e-09,0.10755527,6.019253e-09,0.23638994
814,4.8350604e-09,0.123101294,0.11850189,0.04592318,2.7086287e-09,3.0448384e-09,0.22142722,6.576801e-10,2.9824314e-09,2.5928302e-09,2.700741e-09,0.4721172,0.018929213
815,2.8836094e-09,1.3822219e-09,7.190491e-09,0.01143208,7.871636e-09,3.5818266e-09,1.2459571e-08,0.5642127,3.9791486e-09,3.3518883e-09,5.7060063e-09,0.15824527,0.2661099
816,0.015545484,9.432852e-10,2.3028747e-08,0.00069532316,2.6998392e-09,0.19733153,0.0238961,0.2900882,0.28406912,2.4626317e-09,0.070187725,3.2661356e-09,0.11818646
817,3.0162495e-09,9.438674e-10,0.26158285,0.0020292024,3.1179075e-09,3.9049772e-09,0.07088703,0.61266077,4.4450554e-09,2.7264466e-09,4.0254777e-09,1.4464003e-08,0.05284013
818,0.08694145,0.08917118,0.08523063,0.08573177,0.08616961,0.08629072,0.084562555,0.08494412,0.08667895,0.012569166,0.086737655,0.039427,0.08554515
819,1.3119066e-08,8.506103e-10,0.1142607,0.017076539,8.804819e-08,0.28437153,0.14583765,0.28796762,0.11694922,3.9699017e-09,0.033536565,2.1541261e-08,1.1302234e-08
820,2.6095739e-08,6.998693e-10,7.746958e-05,0.010126403,3.2657193e-09,0.18366244,0.14345472,0.4389572,0.05525985,3.383546e-09,0.008862525,3.6704546e-09,0.15959933
