,Astro L1 FGFR3 SERPINI2,Astro L1-6 FGFR3 AQP1,Astro L1-6 FGFR3 PLCG1,Endo L2-5 NOSTRIN SRGN,Exc L2 LAMP5 KCNG3,Exc L2 LINC00507 ATP7B,Exc L2 LINC00507 GLRA3,Exc L2-3 LINC00507 DSG3,Exc L2-3 RORB CCDC68,Exc L2-3 RORB PTPN3,Exc L2-3 RORB RTKN2,Exc L3 LAMP5 CARM1P1,Exc L3 RORB OTOGL,Exc L3 THEMIS ENPEP,Exc L3-5 FEZF2 ASGR2,Exc L3-5 FEZF2 LINC01107,Exc L3-5 RORB LAMA4,Exc L3-5 RORB LINC01202,Exc L3-5 RORB LNX2,Exc L3-5 RORB RPRM,Exc L3-5 RORB TNNT2,Exc L5 FEZF2 CSN1S1,Exc L5 FEZF2 NREP-AS1,Exc L5 FEZF2 PKD2L1,Exc L5 FEZF2 RNF144A-AS1,Exc L5 RORB MED8,Exc L5 THEMIS FGF10,Exc L5 THEMIS LINC01116,Exc L5 THEMIS RGPD6,Exc L5 THEMIS SLC22A18,Exc L5 THEMIS VILL,Exc L5-6 FEZF2 C9orf135-AS1,Exc L5-6 FEZF2 CFTR,Exc L5-6 FEZF2 FILIP1L,Exc L5-6 FEZF2 IFNG-AS1,Exc L5-6 FEZF2 LPO,Exc L5-6 FEZF2 OR1L8,Exc L5-6 FEZF2 SH2D1B,Exc L5-6 THEMIS SMYD1,Exc L5-6 THEMIS TNFAIP6,Exc L6 FEZF2 FFAR4,Exc L6 FEZF2 KLK7,Exc L6 FEZF2 PDYN,Exc L6 FEZF2 POGK,Exc L6 FEZF2 PROKR2,Exc L6 THEMIS LINC00343,Exc L6 THEMIS SLN,Exc L6 THEMIS SNTG2,Inh L1 LAMP5 BMP2,Inh L1 LAMP5 NMBR,Inh L1 LAMP5 PVRL2,Inh L1 LAMP5 RAB11FIP1,Inh L1 PAX6 CHRFAM7A,Inh L1 PAX6 MIR101-1,Inh L1 PVALB SST ASIC4,Inh L1 SST DEFB108B,Inh L1 SST P4HA3,Inh L1 VIP KLHDC8B,Inh L1-2 PVALB CDK20,Inh L1-2 SST CCNJL,Inh L1-2 SST CLIC6,Inh L1-2 SST PRRT4,Inh L1-2 VIP EXPH5,Inh L1-2 VIP HTR3A,Inh L1-2 VIP PTGER3,Inh L1-2 VIP SCML4,Inh L1-2 VIP WNT4,Inh L1-3 SST FAM20A,Inh L1-3 VIP CBLN1,Inh L1-3 VIP CHRNA2,Inh L1-3 VIP FNDC1,Inh L1-3 VIP HSPB6,Inh L1-5 VIP CD27-AS1,Inh L1-5 VIP LINC01013,Inh L1-5 VIP PHLDB3,Inh L1-5 VIP SMOC1,Inh L1-6 LAMP5 AARD,Inh L1-6 LAMP5 CA1,Inh L1-6 LAMP5 NES,Inh L1-6 PVALB COL15A1,Inh L1-6 SST NPY,Inh L1-6 VIP SLC7A6OS,Inh L2 PAX6 FREM2,Inh L2 PVALB FRZB,Inh L2 VIP SLC6A16,Inh L2-3 SST NMU,Inh L2-5 PVALB HHIPL1,Inh L2-5 PVALB RPH3AL,Inh L2-5 VIP BSPRY,Inh L2-5 VIP SOX11,Inh L3 PVALB SAMD13,Inh L3-5 PVALB ISG20,Inh L3-5 SST CDH3,Inh L3-5 SST GGTLC3,Inh L3-5 SST OR5AH1P,Inh L3-5 VIP HS3ST3A1,Inh L3-5 VIP IGDCC3,Inh L3-5 VIP TAC3,Inh L3-6 PAX6 LINC01497,Inh L3-6 VIP UG0898H09,Inh L3-6 VIP ZIM2-AS1,Inh L5 PVALB LRIG3,Inh L5 SST RPL35AP11,Inh L5-6 LAMP5 CRABP1,Inh L5-6 PVALB FAM150B,Inh L5-6 PVALB GAPDHP60,Inh L5-6 PVALB KCNIP2,Inh L5-6 PVALB MEPE,Inh L5-6 PVALB SST CRHR2,Inh L5-6 PVALB ZFPM2-AS1,Inh L5-6 SST BEAN1,Inh L5-6 SST C4orf26,Inh L5-6 SST DNAJC14,Inh L5-6 SST FBN2,Inh L5-6 SST ISX,Inh L5-6 SST KLHL1,Inh L5-6 SST PAWR,Inh L5-6 SST PIK3CD,Inh L5-6 VIP COL4A3,Inh L6 SST TH,Micro L1-6 TYROBP CD74,OPC L1-6 PDGFRA COL20A1,Oligo L2-6 OPALIN FTH1P3,Oligo L2-6 OPALIN MAP6D1,Oligo L3-6 OPALIN ENPP6,Oligo L3-6 OPALIN LRP4-AS1,Oligo L5-6 OPALIN LDLRAP1,VLMC L1-5 PDGFRA COLEC12
0,1.3288472e-07,8.006554e-07,0.0009403995,0.0011292333,1.1313348e-06,1.2203966e-06,0.081636906,7.566283e-05,0.12568852,0.033520173,0.035411604,6.5824042e-06,1.183096e-06,5.0825747e-06,0.016023573,5.301754e-07,0.03963963,0.005283119,5.5901924e-06,1.109298e-06,0.15082645,0.017965237,0.0042027426,1.2013935e-06,3.0124368e-06,0.0023829045,0.09723746,0.030565105,0.08450886,0.041792147,3.2876294e-06,0.010670167,8.999285e-07,0.017740337,7.701268e-07,4.7377398e-07,8.6125243e-07,1.2825645e-05,0.02842415,9.8776945e-06,4.970246e-07,0.020642411,2.7075626e-07,0.0027380367,4.1351745e-07,4.054299e-06,2.0932873e-06,0.09062838,0.01702007,1.1752758e-06,1.0119039e-06,2.2510346e-07,0.0017899261,3.1318607e-06,1.5157872e-07,2.3995287e-07,1.664907e-07,1.831025e-05,8.0130224e-07,6.759762e-08,1.579959e-07,7.715827e-08,4.579199e-07,1.5620701e-07,0.006739028,0.014603545,1.8981471e-07,7.4674674e-08,6.932981e-07,2.8085722e-07,3.7371585e-06,2.1322172e-07,3.2015237e-07,2.4510325e-07,1.027963e-07,2.986706e-07,2.9930328e-07,1.7275815e-07,3.4655616e-07,4.7552862e-07,4.092197e-08,7.0820323e-07,2.6829926e-07,4.887763e-07,2.9559934e-07,1.334436e-07,6.6563183e-07,1.022897e-06,2.4622324e-07,2.3928905e-07,0.0051058675,2.5490222e-06,0.0014059747,1.03537225e-07,9.3781686e-08,1.5321788e-07,4.4262913e-07,2.7449585e-07,0.0061177667,4.1105716e-07,2.8187782e-07,4.1105693e-07,1.1771415e-07,2.1438814e-07,5.6166806e-07,2.376262e-07,3.3544558e-07,3.1239307e-07,1.8096812e-07,6.6946075e-07,3.0400182e-07,1.7691035e-07,1.3157592e-06,6.006335e-06,2.2414856e-07,1.4626652e-07,8.6440096e-08,7.0423845e-08,2.4050837e-07,1.5143699e-07,0.0061915666,4.3909633e-08,1.1495182e-07,0.0012346269,8.834991e-08,6.177594e-08,4.8497224e-08,3.3083603e-07
1,1.3856874e-07,0.009017426,0.005055289,4.0758675e-08,0.0033512,6.51692e-07,2.078095e-06,4.9746527e-06,9.766171e-07,2.8454403e-06,0.0056806044,0.012358023,8.0317153e-07,1.1804893e-05,6.5919676e-06,0.005894759,6.174216e-07,3.834879e-06,1.6600765e-06,0.098460644,6.2467057e-06,0.020591808,5.4944377e-07,1.060878e-06,5.852184e-07,7.89421e-07,2.6735215e-06,0.05905395,0.1022679,1.3256467e-05,1.8551743e-06,0.11714495,4.615254e-07,0.0028435867,3.9702977e-07,0.0001986822,1.8260687e-05,0.046299983,1.7023474e-06,0.00871536,7.5829814e-07,2.781247e-06,3.413056e-05,5.364889e-05,0.011736369,2.415926e-05,0.02507589,4.9903243e-05,1.383493e-07,1.3595125e-07,2.3269573e-07,0.0018345459,1.4488833e-07,1.472699e-07,2.1559435e-07,1.7651396e-07,0.0061475807,3.5958732e-07,0.014689076,2.70908e-06,0.0189433,3.7979342e-07,2.4996237e-07,1.6332969e-07,8.0209804e-07,4.1865283e-06,0.0010673282,1.0572193e-06,1.3957903e-07,4.358312e-07,0.00418174,2.2061363e-07,2.1164435e-07,1.1466715e-07,1.9356226e-07,2.6374508e-07,0.06767197,0.12582931,3.4287496e-06,0.0116431005,2.3341862e-07,0.0014020872,1.3140032e-06,0.013164712,1.0393506e-06,0.020137645,8.659798e-06,2.3476628e-06,3.1622707e-07,2.6839746e-07,1.8406583e-06,7.958502e-07,5.175456e-07,8.64062e-07,5.3306286e-07,4.10059e-07,1.0180627e-06,0.016411427,1.2378016e-06,3.0148428e-07,1.4003257e-07,0.024952978,5.4848e-07,0.12415572,5.149613e-07,1.0611766e-06,1.8907577e-06,5.376324e-07,5.515484e-07,2.9659534e-06,0.0130033735,3.925033e-07,3.2329157e-07,3.6174623e-07,5.351978e-07,1.2662211e-06,3.4104022e-07,5.568031e-07,3.5603887e-07,7.365737e-07,0.00071473984,5.919675e-07,3.2480648e-07,2.4203484e-07,2.95085e-07,6.393446e-08,6.696015e-08,4.77075e-07
2,2.3608811e-07,0.0009558741,0.00029546345,2.7503376e-07,4.490486e-07,2.580959e-06,7.503082e-07,5.0373396e-06,6.7092657e-07,1.6767733e-06,7.5822936e-07,0.0011606101,0.004653357,0.08991325,1.9669637e-06,0.006355953,4.1657532e-07,7.366788e-07,7.33523e-06,3.3644194e-06,0.00715811,0.047799528,0.026701372,6.5062954e-06,0.039763488,0.01799147,1.8382107e-05,0.11139234,0.08027304,0.019169925,0.018046377,0.07100542,0.021531105,0.08448859,0.11549382,0.10990419,0.038875915,0.012910229,0.0059030023,9.576073e-06,0.00011200631,0.029225264,4.6467034e-07,6.148706e-07,7.801906e-07,3.0797505e-06,4.406696e-06,0.011032864,4.6024567e-08,5.5627833e-08,4.1885688e-08,7.6979646e-08,6.7485196e-08,4.929128e-08,9.531767e-08,5.5469815e-08,9.482926e-08,0.0019522184,7.2926014e-08,6.6955955e-08,9.090174e-08,6.5549784e-08,9.757476e-08,6.88077e-08,0.0039054544,6.8880645e-08,3.3423004e-07,1.4632425e-07,1.279016e-07,1.4393615e-07,6.174406e-08,6.731827e-08,1.0867483e-07,9.661608e-08,1.2138744e-07,1.052381e-07,1.5399738e-07,1.2497462e-07,9.9452556e-08,2.9594102e-07,5.605444e-08,2.0825692e-07,2.0717368e-07,2.440672e-07,1.1013889e-07,7.823734e-08,1.0822187e-07,1.8952765e-07,7.0179006e-08,8.581032e-08,1.2702003e-07,0.0066666547,1.749094e-07,1.266638e-07,1.338913e-07,8.868754e-08,8.2051606e-08,7.709535e-08,5.975236e-08,7.480319e-08,1.9749038e-07,1.4035327e-07,1.0347067e-07,1.04948676e-07,0.0029637767,8.024543e-08,7.280066e-08,2.8312684e-07,1.6465043e-07,1.0481884e-07,1.0581481e-07,1.7106558e-07,8.869557e-08,9.207842e-08,1.8669286e-07,1.5149462e-07,1.1094935e-07,7.639482e-08,7.199125e-08,7.579138e-08,0.0064668874,0.00042897725,0.0029139323,1.5323944e-07,1.3871056e-06,0.0025088382,4.317299e-08,5.1932693e-07
3,1.0364108e-06,0.00013542836,0.0011715026,0.0013113136,0.04596255,2.943474e-06,2.0743305e-06,8.3426096e-07,1.0527681e-06,1.1684492e-06,8.2338425e-07,1.0595145e-06,2.305698e-06,0.020017572,1.3854122e-06,1.8021574e-06,0.014887049,7.550343e-07,4.4777044e-06,3.075207e-06,9.957169e-06,1.3344329e-05,0.06272149,0.16213684,0.011758331,0.09278703,0.04053548,1.7363906e-06,0.03403115,1.3798781e-06,7.0566252e-06,2.854667e-06,0.036123343,0.0029047611,0.028057378,0.022283645,2.032645e-06,2.488933e-06,0.1396643,1.29357495e-05,1.0090208e-06,0.018543,8.729629e-07,0.037980683,0.0057535768,1.8323391e-05,2.5537918e-06,0.09694495,6.9469124e-08,7.132514e-08,6.888844e-08,1.2038224e-07,2.6724257e-07,1.5113129e-07,1.2525378e-07,2.4654355e-07,1.6192502e-07,2.982591e-07,6.266239e-07,5.5985987e-07,3.0989708e-07,1.5008303e-07,2.3756598e-07,1.9805418e-06,3.5156825e-07,4.618544e-07,2.0277058e-07,2.6554696e-07,1.3384236e-07,0.006421813,1.1540824e-06,1.1525351e-07,1.2298258e-07,2.223624e-07,1.2423183e-07,1.5728953e-07,1.2915281e-07,1.6130024e-07,1.6111545e-07,3.546501e-07,5.0169433e-08,2.1664594e-06,0.0017218549,1.0338414e-06,2.5726834e-07,1.6775645e-07,1.3896044e-06,2.1383166e-06,1.2086583e-07,1.910393e-07,1.2425406e-06,2.6412347e-06,0.0041064974,2.694329e-06,5.0797524e-05,1.6221217e-07,1.6159753e-07,1.6307997e-07,0.0049122544,0.002723009,1.8813658e-07,0.024488494,3.5891966e-07,1.14602166e-07,0.033530757,1.0038888e-06,1.3872963e-05,3.6635329e-06,5.1641973e-07,0.008605347,8.176547e-07,5.4402744e-07,0.005633686,3.585663e-07,6.518867e-07,0.020562977,3.3645637e-07,3.2263023e-07,1.5115451e-07,1.2927233e-06,0.0013829262,0.002049844,7.2478144e-07,6.3584116e-07,0.006592123,3.83625e-07,2.7622138e-05,0.00132694
4,1.8557998e-07,2.0338541e-07,1.7484562e-06,0.0026901127,0.008904635,0.022013197,0.023905866,0.101351224,1.3118712e-06,0.03403937,0.05391496,0.050507274,7.9578336e-07,2.2463473e-06,0.03719219,5.514339e-06,1.9613283e-06,7.264223e-07,1.0762384e-06,0.09371039,0.02070265,0.016106235,2.9911016e-07,4.9222695e-07,5.3135875e-07,0.02377783,2.5886764e-06,1.1548711e-06,9.770192e-07,0.020987289,0.035882723,3.8243606e-06,0.0048879427,1.0056151e-06,2.953081e-07,2.59765e-07,7.5080885e-07,1.5624154e-06,0.028396899,4.940753e-06,2.5249317e-06,3.151883e-06,4.0475942e-07,1.8592941e-06,0.03114468,0.03301341,1.2910152e-06,2.1299109e-06,7.410425e-07,3.488681e-07,2.4774195e-06,0.011716189,9.564404e-05,7.080725e-07,2.0825489e-07,0.004277011,5.2688415e-07,0.0064471276,0.049355842,0.0024876622,7.3327595e-07,3.3128122e-06,4.6572433e-07,1.5699833e-07,0.0009621543,0.0023548766,0.003574978,3.466343e-06,2.3943394e-07,4.329686e-07,0.0006572674,6.8051696e-07,1.7762127e-07,1.5534674e-07,3.776059e-07,2.406973e-07,0.055210434,1.6079343e-06,1.7378026e-06,3.5939222e-06,5.6194473e-08,2.1478927e-07,4.964125e-07,0.018237969,0.0024958095,5.5680044e-07,0.046154033,2.9151173e-05,1.655018e-07,2.3693902e-07,2.0915391e-05,0.06832281,5.130091e-07,7.2973234e-07,0.0012621013,2.1322346e-07,2.2759968e-07,5.5722506e-07,1.7316754e-07,7.6533473e-07,0.0056304876,0.02359259,6.7998967e-06,7.5806634e-07,4.4727093e-07,2.1999076e-06,0.008903439,9.1640584e-07,0.0088296225,0.018890982,0.008562943,5.5397106e-07,1.2664688e-06,0.0056416136,6.170058e-07,3.605689e-07,5.4620773e-07,7.1452456e-07,2.3826782e-07,3.6875502e-07,0.0030672073,8.893093e-08,2.3669176e-07,1.522222e-07,1.5673011e-07,7.86178e-08,1.01378745e-07,2.8137003e-07
5,0.009255129,0.006718518,0.01717485,4.911796e-07,9.2913e-06,6.7563684e-07,2.1626597e-06,0.04713548,1.511588e-06,2.0441387e-06,9.835729e-07,1.1139704e-06,2.495148e-06,1.0242238e-06,2.5286995e-06,1.34839e-06,1.0797552e-06,3.700492e-06,3.3078918e-06,6.4751034e-06,1.5999208e-06,2.3602329e-06,0.016279152,1.5450662e-06,1.720024e-06,0.079797,1.620266e-06,5.320007e-06,0.051107302,0.016764337,1.2639692e-06,0.03620699,7.417078e-07,1.5509786e-05,1.486989e-06,1.1483157e-06,0.00067899167,7.679086e-06,3.5854146e-06,5.8651895e-06,6.454193e-07,2.5279262e-06,9.171688e-07,2.1299863e-06,0.024144176,4.143716e-06,2.3527055e-06,4.6401574e-06,1.3968186e-07,1.4659457e-07,1.5170986e-07,2.5187333e-07,2.6011517e-07,2.1548257e-07,1.8537345e-07,2.3294798e-07,3.3365467e-07,0.019473264,2.3406487e-06,1.8172946e-07,5.3316035e-07,1.7342728e-07,2.0887245e-07,2.6511887e-07,0.00022662943,4.295949e-07,0.003559838,1.8454324e-07,1.9765669e-07,0.0073829736,0.009150701,6.7584074e-07,7.094878e-07,0.01793862,3.8297907e-07,3.3208667e-07,3.1943938e-07,0.018363979,3.7159163e-07,2.1019016e-06,1.3060786e-07,0.0142283905,0.04008048,9.72498e-07,4.9410943e-07,3.941103e-07,3.1806082e-06,3.949036e-06,5.6479286e-07,0.032783177,0.038379427,0.0031826277,3.7348187e-07,2.5577359e-07,2.9348564e-07,4.5599666e-07,3.7768098e-07,7.5431734e-07,6.256086e-07,3.1040983e-07,1.0432218e-06,0.00022007548,3.8908354e-07,1.7582336e-06,0.031170618,5.0761504e-05,0.20102222,2.2370755e-06,4.167282e-07,0.20113634,0.038559295,0.012052504,1.189493e-06,1.1492525e-06,3.995706e-07,2.2458983e-06,2.636322e-07,1.7904344e-07,6.892076e-07,1.9383226e-06,0.00067927624,3.4054827e-07,1.7404909e-07,2.1448788e-07,4.6925737e-07,1.04989084e-07,1.7924877e-07,0.0049481895
6,5.6298205e-07,4.1294982e-07,0.0010772806,0.0013341416,0.019088151,0.0052264836,0.01611257,1.19624565e-05,5.044626e-07,7.4990953e-07,0.0052241106,3.9391684e-06,0.00013758305,0.019670466,1.5678679e-06,9.560807e-07,1.85083e-06,0.08145716,1.0282467e-06,2.8906081e-06,3.0030685e-06,0.035936654,4.0893676e-07,4.614958e-07,3.299482e-07,7.9498386e-07,2.2195984e-06,1.3295338e-05,0.08326251,5.06661e-06,1.5776509e-06,0.046271738,1.0060616e-06,0.0009398417,9.3287207e-07,2.1203668e-06,0.10496306,0.009645885,4.3213444e-07,7.1494383e-06,8.452412e-07,0.0064953268,0.014098434,0.028487166,0.008495363,0.040620435,1.5337745e-06,0.095347576,9.8723845e-08,1.10291694e-07,6.870696e-08,9.1995055e-08,1.4609236e-07,1.3059031e-07,9.5165404e-07,3.5421365e-07,2.8146584e-07,2.9098834e-07,0.013755926,1.9150285e-07,9.196925e-07,2.416835e-07,2.3393339e-07,1.1575143e-07,1.5719779e-07,1.4244685e-07,1.4419331e-07,1.9305894e-07,1.15656306e-07,3.8722442e-07,2.5551685e-07,1.3203244e-07,1.3821779e-07,1.7957336e-07,8.14776e-08,4.5063107e-06,1.790317e-07,3.542592e-07,2.658497e-07,0.024163269,8.501716e-08,6.159448e-06,5.475738e-07,1.2521554e-06,2.603416e-07,0.014410109,0.03634601,0.10308063,2.184762e-07,2.1650149e-07,0.047044776,0.04444646,1.4449944e-07,2.0404275e-07,3.111032e-07,1.9027564e-07,1.4183054e-07,2.352e-07,0.0105363075,9.2462625e-07,1.3767385e-07,1.0354946e-06,1.8772194e-07,1.9816633e-07,0.016367625,0.0063145603,0.03180035,1.9196941e-06,8.594863e-06,0.0005660335,0.005945423,2.0888326e-07,7.8173005e-05,0.003989428,5.2779086e-07,5.60727e-07,1.5894962e-07,1.3576934e-07,0.009940146,2.2225144e-07,0.004193475,1.9400048e-07,1.5776455e-07,0.0019126082,7.1399825e-08,3.873137e-08,9.607034e-08,0.0011125673
7,0.0005008502,1.5033001e-07,8.5233876e-07,6.6155756e-08,0.030275423,0.00026853645,0.08902747,0.10708993,0.06353552,0.056708463,2.0569844e-06,5.147574e-05,0.012690796,0.052720904,6.04479e-07,2.574601e-07,1.0996224e-05,3.818754e-06,3.613477e-05,0.050647616,0.11528318,1.5058188e-05,1.4508059e-07,2.1641712e-07,2.5465204e-07,0.03672345,0.08842437,0.015339794,5.1565366e-06,0.103472054,9.794948e-06,0.000487443,0.0044517857,0.04708371,8.6694575e-07,7.899071e-05,0.0043966738,3.6095566e-06,2.1534322e-06,0.1033436,2.6085073e-07,9.559476e-07,3.1710658e-07,5.22979e-07,3.3554393e-06,2.8178822e-06,2.2396532e-06,0.0050451863,4.282709e-08,4.7415096e-08,4.2491873e-08,7.02318e-08,1.7182423e-07,5.0960065e-08,0.0015432907,2.9475973e-07,0.004348334,1.00531615e-07,5.1001003e-08,4.914228e-08,7.642119e-08,4.651351e-08,1.00456475e-07,1.05522254e-07,4.0203966e-07,1.0242812e-07,0.0010120799,8.2436564e-08,8.626738e-08,1.1593267e-07,4.5290307e-08,1.1888986e-07,6.801047e-08,5.3864884e-08,4.4218403e-08,2.9190875e-07,1.1244877e-07,1.2077417e-07,9.197977e-08,1.1593864e-07,5.4625467e-08,1.1247322e-07,1.4425329e-07,5.6652716e-08,1.04639135e-07,6.298583e-08,7.857171e-08,9.124217e-08,1.0388261e-07,6.444471e-08,1.04177644e-07,1.2390764e-07,2.4598228e-07,1.03178785e-07,8.8981736e-08,0.001445652,9.146781e-08,9.071191e-08,6.0526304e-08,9.7353094e-08,7.055134e-08,9.491638e-08,8.970293e-08,1.6210112e-07,8.461543e-08,6.448861e-08,9.1985555e-08,1.1711652e-07,1.3543526e-07,9.5304124e-08,9.3665186e-08,1.7667483e-07,9.6304156e-08,9.588711e-08,1.1646844e-07,9.33691e-08,8.99855e-08,5.2851796e-08,2.1297167e-07,6.032876e-08,0.0038908646,4.440891e-08,7.425004e-08,2.3809442e-07,6.045668e-08,1.9859552e-07,4.2191807e-08,1.5266237e-06
8,0.002882335,7.021467e-05,3.128595e-07,0.0022640305,9.773366e-07,6.3903883e-07,1.4119984e-06,7.148968e-07,1.7312869e-06,2.3564794e-06,0.008078933,7.1714123e-07,0.044634562,6.7078313e-06,1.3039352e-06,5.1942027e-07,9.610523e-06,7.100045e-06,0.08613067,0.015775258,1.2494238e-06,0.0821551,4.654579e-06,2.5441643e-06,2.7068331e-06,0.02098066,0.0522562,5.9465433e-06,1.3119682e-06,0.08520391,3.0770375e-06,1.3391127e-06,9.168189e-07,0.05595992,5.618439e-07,0.03352957,0.04669626,1.9132412e-06,2.6492312e-06,0.022123132,2.081795e-05,2.0255093e-06,1.0732891e-06,5.399928e-07,4.0458875e-07,1.1847935e-06,7.8317913e-07,2.3597383e-06,2.4300508e-07,5.1312463e-07,1.6024853e-07,0.0046147024,9.655125e-07,2.8595696e-07,3.333131e-07,0.015064301,0.0065110964,0.002786781,4.0548102e-07,3.2133892e-07,2.5795716e-05,0.023342352,0.012003028,1.6889818e-07,4.07759e-06,1.6702824e-06,0.01067389,3.96291e-07,3.6858955e-07,3.0375583e-07,0.0060289884,0.013673362,2.0727707e-07,5.062857e-07,1.3504193e-06,1.7643524e-07,0.09471547,1.2323782e-06,0.026567953,0.102829605,4.1807464e-08,0.013585366,2.0706752e-06,0.010747058,2.7183555e-06,1.88234e-07,7.921585e-07,8.9075894e-07,8.13373e-07,2.2356987e-07,1.168288e-06,0.04345065,4.2321514e-07,5.730868e-07,4.542052e-07,1.5779027e-06,8.4944884e-07,0.016092282,1.09448166e-07,2.2727306e-07,2.1609874e-07,0.010135548,3.5856024e-07,0.009647365,6.892747e-07,2.5630604e-07,2.7807607e-07,0.0075187613,4.2336563e-07,3.7130053e-07,1.7327626e-06,4.88829e-07,4.6917955e-07,4.4638745e-07,3.4404144e-07,3.7659206e-07,1.1519257e-06,4.3827524e-07,5.8405175e-07,3.794454e-07,0.0072892513,5.043861e-07,1.320769e-07,1.7569603e-07,0.003761993,5.605759e-07,1.206684e-06,6.298071e-05
9,1.321266e-07,0.0014697779,1.9771133e-07,0.00087921385,8.0028576e-07,0.013892818,3.3573608e-06,6.5364486e-07,0.054102663,0.06508655,1.3370209e-06,1.1784047e-06,0.107619025,0.09353483,6.269396e-07,2.9752354e-07,0.086864516,4.047264e-06,2.8013153e-06,0.06644288,2.9349262e-06,0.013063077,0.0028353932,1.1825963e-06,5.003746e-06,0.043098032,2.9349808e-06,6.8190593e-07,1.770338e-06,0.0071362224,1.399205e-06,2.2859156e-06,0.0012379294,2.6972592e-05,3.3428466e-06,0.00010811404,0.00012898009,1.6256516e-06,1.4959826e-06,0.04565089,3.2472394e-06,1.0581579e-06,2.9202176e-06,0.02935847,0.007919671,0.055674694,2.7459494e-06,2.7124984e-06,6.245901e-08,6.5246155e-08,6.161251e-08,6.6658465e-08,1.705562e-07,1.1054822e-07,1.13598894e-07,9.9372606e-08,9.511585e-08,1.0696831e-06,0.0027244012,8.456063e-08,1.565581e-07,2.3500056e-07,1.7317063e-07,2.6670682e-06,2.542374e-07,0.0041062837,1.0325882e-07,8.815247e-08,1.9745377e-07,2.034078e-07,2.0613538e-07,1.4780828e-07,1.2708804e-07,9.194412e-08,0.006163744,1.339928e-07,8.701343e-08,1.0771077e-07,1.0466909e-07,0.007250275,3.77853e-08,2.4637998e-07,8.9764785e-07,5.474233e-07,2.654115e-07,1.5877633e-07,1.5650879e-06,0.07705433,1.4118068e-07,1.07220814e-07,0.038411018,6.3428456e-07,1.414854e-07,1.2266493e-07,1.2029047e-07,1.1745036e-07,2.3276016e-07,0.004762233,0.0029298682,2.7003455e-07,1.3287003e-07,0.01816264,1.8126784e-07,7.7033256e-08,0.005234212,9.3221223e-07,0.06673648,4.0100704e-07,3.4942605e-07,0.052314647,1.2769577e-06,2.2997746e-07,0.008037136,0.004885942,2.0962248e-07,2.3775397e-07,9.7222426e-08,7.2514e-08,1.7880635e-07,4.6329376e-07,0.0017587643,6.8691236e-08,0.0032607971,4.571944e-06,3.9455472e-07,5.339664e-08,2.7029057e-07,5.1361656e-07
