,0
0,0.9533654707729599
1,0.9025137965751788
2,0.6001490207564032
3,0.08715355561827036
4,0.9211078797115474
5,0.23439091196950107
6,0.4799101996297821
7,0.9472856516101781
8,0.9593844828782007
9,0.8722657259288228
10,0.6234387330729954
11,
12,0.9186814760043536
13,0.5680623660914864
14,0.8765851909456132
15,0.5531115979774596
16,0.6295432021020111
17,0.8267967397843817
18,0.7077823343084134
19,0.2709702991550185
20,0.7912257054652164
21,0.6840828326096311
22,0.9318056402948212
23,0.7180390037091543
24,0.8575981543814131
25,0.7892440990677545
26,0.17863983153802981
27,0.46850929573552225
28,0.9040738985826082
29,0.7488123463103848
30,0.9106280994767041
31,0.5497080518109428
32,0.8858238886918647
33,0.8749010306322411
34,0.5244820245039253
35,0.9062167490108332
36,0.6657435811888048
37,0.8405773264699561
38,0.6312204528604154
39,0.26609194196028135
40,0.9591622400291117
41,0.676990665237515
42,0.5566099476584032
43,0.2736335197397561
44,0.9385908736599183
45,0.42121841889490247
46,0.8858879226161799
47,0.912827213565315
48,0.8138411808069954
49,0.32351124962727507
50,0.7039042483200852
51,0.8656563685541983
52,0.7479580577072017
53,0.8715699744041941
