,0
0,0.698988687569038
1,0.6428700597217263
2,0.5076543528701457
3,0.35319695576887283
4,0.3066122889940924
5,0.8940652216971043
6,0.770861161585348
7,0.6018663266430105
8,0.7269218949093624
9,0.6028689744080405
10,0.7900019617011231
11,0.7672644068541243
12,0.7492795866134004
13,0.7005749561690786
14,0.6154492281126626
15,0.603889962093272
16,0.5984615547847336
17,0.32077647586247776
18,0.21614631033110884
19,0.7639643751384472
20,0.4850461841835885
21,0.8515757628641657
22,0.7322747296133607
23,0.44667544010531257
24,0.8648328838400126
25,0.6891615372948706
26,0.3794443079682003
27,0.5460808362318733
28,0.36024759401609013
29,0.2045517950405639
30,0.646555500816879
31,0.772926065737362
32,0.40022179558750115
33,0.7116700387166172
34,0.688547556245852
35,0.8765908376447719
36,0.8556215417364855
37,0.8707685309807428
38,0.6838240114184009
39,0.82776801703266
40,0.6311157467065855
41,0.7102181021942982
42,0.6792976083743067
43,0.7583059176603957
44,0.5909970298909561
45,0.869150697192167
46,0.8979746191779374
47,0.47831867162280595
48,0.14595051749017404
