"","cell_ID","NK","CD4_T","Alveolar_Type_2","CD8_T","Monocytes","Macrophage","Alveolar_Type_1","Endothelial","DC","Fibroblast","Mast","B_cells","Muscle_cells","Proliferating_NK_T","Ciliated","Plasma","Club cell","Basal","Proliferating_Macrophage"
"42","41",0,0,0.278077694142813,0,0,0.653183135883692,0,0,0,0,0,0,0,0,0,0,0,0.0687391699734948,0
"43","42",0.326593590944457,0,0,0,0,0,0,0.146611261591879,0,0,0,0,0,0,0.526795147463664,0,0,0,0
"44","43",0,0,0.198265812020622,0,0.192981987485126,0.400685764748325,0,0,0,0.0781789750038772,0,0,0,0,0,0,0,0,0.129887460742049
"45","44",0.156537398345122,0,0,0,0,0.405450206729085,0.348301675671217,0,0,0,0,0,0,0,0,0,0,0,0.0897107192545759
"46","45",0.0960199867379914,0,0,0,0,0.903980013262009,0,0,0,0,0,0,0,0,0,0,0,0,0
"47","46",0,0,0,0,0.104009246506376,0.474701190501747,0.204349160916051,0,0,0,0.216940402075825,0,0,0,0,0,0,0,0
"48","47",0,0.148762832382587,0,0.268429295995016,0,0,0,0.229770443476433,0,0.353037428145964,0,0,0,0,0,0,0,0,0
"49","48",0,0,0,0.0713576293547001,0.0733767073072196,0.255912971215628,0,0.269951413269071,0,0.329401278853381,0,0,0,0,0,0,0,0,0
"50","49",0.201494410525819,0,0,0,0,0.798505589474181,0,0,0,0,0,0,0,0,0,0,0,0,0
"51","50",0,0,0,0,0.114199021632626,0.431920179515158,0,0,0,0,0,0,0,0,0.453880798852216,0,0,0,0
"52","51",0,0,0.523750559115282,0,0.0657939004744974,0.163280529471758,0.064350804801043,0.18282420613742,0,0,0,0,0,0,0,0,0,0,0
"53","52",0,0,0.104437955274491,0,0,0,0,0,0,0,0,0,0,0,0.197796159131232,0.697765885594277,0,0,0
"54","53",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"55","54",0,0,0,0,0,0.917626131107279,0,0,0,0,0,0,0,0,0,0,0,0,0.0823738688927215
"56","55",0,0,0,0,0,0.846964398501238,0,0.129616505303947,0,0,0,0,0,0,0,0,0,0,0.023419096194815
"57","56",0,0,0,0,0,0,0,0.353311957445967,0,0.646688042554033,0,0,4.15772063655342e-20,0,0,0,0,0,0
"58","57",0,0,0,0,0,0.682692803223785,0,0.170187262531934,0.147119934244281,0,0,0,0,0,0,0,0,0,0
"59","58",0,0.183742248662419,0,0.242299342248084,0,0,0,0.283677063123371,0,0.0911537623224985,0,0,0.199127583643627,0,0,0,0,0,0
"60","59",0.317928263958806,0,0,0,0,0,0,0.175819186255791,0,0,0.490187526950065,0,0,0.0160650228353374,0,0,0,0,0
"61","60",0.222404994992041,0,0.0908494168303057,0.196981819902283,0,0.133900532959765,0,0,0.251090428727396,0,0,0.0222957762289908,0,0,0,0,0,0,0.0824770303592177
"62","61",0,0,0,0,0,0.91294341248101,0,0.0672028645101352,0,0,0,0,0,0,0,0,0,0,0.0198537230088552
"63","62",0,0,0,0,0,0.956043960943345,0,0,0,0,0,0,0,0,0,0,0,0,0.0439560390566553
"64","63",0,0,0.156087008679873,0,0,0.203738026129358,0,0.640174965190769,0,0,0,0,0,0,0,0,0,0,0
"65","64",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"66","65",0,0,0,0,0,0.683953162996982,0,0.225235505822797,0,0,0,0,0,0,0,0,0,0,0.0908113311802203
"67","66",0,0,0,0,0,0,0.191093438480369,0.325465827580228,0.284033551057036,0,0,0,0,0,0,0,0.199407182882367,0,0
"68","67",0,0,0,0,0,0.988047171117365,0,0,0.0119528288826352,0,0,0,0,0,0,0,0,0,0
"69","68",0,0,0,0.0667181346824065,0.0880258384275523,0.406036391914601,0,0,0,0,0,0,0,0,0,0.439219634975441,0,0,0
"70","69",0.654026401623791,0.345973598376209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"71","70",0,0,0,0,0,0.456957946322408,0.213550878614655,0,0,0,0.161746725812732,0,0,0,0,0,0,0,0.167744449250205
"72","71",0,0,0.466168341174981,0,0,0.413932600534408,0,0.119899058290612,0,0,0,0,0,0,0,0,0,0,0
"73","72",0.231721764340259,0,0,0,0,0,0,0.768278235659741,0,0,0,0,0,0,0,0,0,0,0
"74","73",0,0.142546289071415,0,0.123566896256826,0,0,0.733886814671758,0,0,0,0,0,0,0,0,0,0,0,0
"75","74",0,0,0.340255589974659,0,0,0.392448209648252,0,0.264809743724988,0,0,0,0,0,0,0,0,0,0,0.00248645665210065
"76","75",0,0.169981379222438,0,0.127837832112745,0.161653262552503,0,0,0.342859079766074,0.19766844634624,0,0,0,0,0,0,0,0,0,0
"77","76",0,0,0,0,0,0.892657000397986,0,0.107342999602014,0,0,0,0,0,0,0,0,0,0,0
"78","77",0,0,0,0,0,0.860242700329039,0,0.139757299670961,0,0,0,0,0,0,0,0,0,0,0
"79","78",0,0,0,0,0,0.374821835379475,0,0.0629291269503009,0,0,0,0,0,0,0,0,0,0,0.562249037670224
"80","79",0,0,0,0.3041829078807,0,0,0,0,0,0.239306692648423,0,0,0.456510399470876,-1.41450222462372e-19,0,0,0,0,0
"81","80",0,0,0,0,0,0,0.571444225463603,0.214270682845877,0,0,0,0,0.21428509169052,0,0,0,0,0,0
"82","81",0,0,0,0,0,0.521295665025174,0,0.180718099150899,0.0561460239095728,0,0,0,0,0,0,0,0,0.183293498593902,0.0585467133204531
"83","82",0,0,0.249967292169528,0,0.111873199775802,0.5662262390892,0,0.071933268965469,0,0,0,0,0,0,0,0,0,0,0
"84","83",0,0,0.382805377909359,0,0,0.509703118511501,0,0.107491503579139,0,0,0,0,0,0,0,0,0,0,0
"85","84",0,0.169429439461614,0.231544193801439,0,0,0.368713174401783,0.0949315426987081,0,0,0.0776172177475654,0,0,0,0,0,0,0.0577644318888906,0,0
