"","cell_ID","Exc L2-3 RORB CCDC68","Inh L3-5 VIP TAC3","Exc L5-6 FEZF2 FILIP1L","Exc L5 THEMIS SLC22A18","Exc L6 THEMIS SNTG2","OPC L1-6 PDGFRA COL20A1","Exc L5-6 FEZF2 C9orf135-AS1","Oligo L2-6 OPALIN FTH1P3","Inh L5-6 PVALB GAPDHP60","Exc L3-5 RORB LNX2","Inh L3-5 VIP IGDCC3","Inh L1-3 SST FAM20A","Exc L5-6 FEZF2 IFNG-AS1","Inh L5-6 PVALB ZFPM2-AS1","Inh L1-3 VIP FNDC1","Exc L2 LINC00507 GLRA3","Inh L1 LAMP5 NMBR","Inh L5-6 LAMP5 CRABP1","Exc L5-6 FEZF2 SH2D1B","Inh L1-2 SST CLIC6","Exc L3 LAMP5 CARM1P1","Inh L5 SST RPL35AP11","Astro L1-6 FGFR3 PLCG1","Inh L1 LAMP5 RAB11FIP1","Exc L3 RORB OTOGL","Exc L6 THEMIS LINC00343","Inh L1 LAMP5 BMP2","Micro L1-6 TYROBP CD74","Exc L6 FEZF2 KLK7","Inh L5 PVALB LRIG3","Inh L1-5 VIP SMOC1","Inh L2-5 PVALB HHIPL1","Inh L1-6 LAMP5 AARD","Exc L3 THEMIS ENPEP","Inh L1 PAX6 MIR101-1","Exc L3-5 RORB RPRM","Inh L5-6 SST ISX","Inh L5-6 SST C4orf26","Inh L1 PVALB SST ASIC4","Exc L5 THEMIS LINC01116","Inh L1-6 PVALB COL15A1","Oligo L3-6 OPALIN LRP4-AS1","Exc L3-5 FEZF2 ASGR2","Inh L1-2 SST CCNJL","Exc L2-3 LINC00507 DSG3","Exc L5 RORB MED8","Inh L2-5 PVALB RPH3AL","Inh L3-5 SST GGTLC3","Oligo L5-6 OPALIN LDLRAP1","Inh L5-6 SST KLHL1","Inh L1-6 LAMP5 CA1","Oligo L3-6 OPALIN ENPP6","Inh L1-2 VIP HTR3A","Exc L5-6 THEMIS SMYD1","Astro L1 FGFR3 SERPINI2","Inh L3 PVALB SAMD13","Inh L5-6 PVALB MEPE","Inh L3-5 VIP HS3ST3A1","Inh L2 PAX6 FREM2","Exc L3-5 RORB LINC01202","Exc L6 FEZF2 POGK","Exc L6 FEZF2 FFAR4","Exc L6 THEMIS SLN","Exc L6 FEZF2 PROKR2","Exc L5-6 THEMIS TNFAIP6","Inh L1-5 VIP PHLDB3","Inh L2 PVALB FRZB","Exc L5 THEMIS VILL","Inh L5-6 PVALB SST CRHR2","Inh L3-5 PVALB ISG20","Exc L5-6 FEZF2 LPO","Exc L3-5 RORB TNNT2","Inh L1-2 VIP WNT4","Inh L1 SST DEFB108B","Endo L2-5 NOSTRIN SRGN","Inh L5-6 SST PAWR","Inh L1 VIP KLHDC8B","Exc L2-3 RORB PTPN3","Inh L5-6 SST BEAN1","Inh L1-6 LAMP5 NES","Exc L2 LAMP5 KCNG3","Exc L5 THEMIS FGF10","Exc L2-3 RORB RTKN2","Exc L5 FEZF2 NREP-AS1","Inh L5-6 PVALB KCNIP2","Inh L2 VIP SLC6A16","Inh L5-6 SST PIK3CD","Inh L1-3 VIP CBLN1","Inh L6 SST TH","Astro L1-6 FGFR3 AQP1","Exc L5 THEMIS RGPD6","Exc L5-6 FEZF2 OR1L8","Exc L5 FEZF2 RNF144A-AS1","Inh L2-3 SST NMU","Inh L3-5 SST CDH3","Inh L1-2 VIP EXPH5","Inh L3-5 SST OR5AH1P","Inh L1 PAX6 CHRFAM7A","Inh L1-3 VIP HSPB6","Exc L5 FEZF2 PKD2L1","Inh L1-2 PVALB CDK20","Inh L3-6 VIP ZIM2-AS1","Exc L5 FEZF2 CSN1S1","Oligo L2-6 OPALIN MAP6D1","Inh L1 SST P4HA3","Inh L3-6 VIP UG0898H09","Inh L1-3 VIP CHRNA2","Inh L1-2 VIP PTGER3","Inh L5-6 PVALB FAM150B","Exc L2 LINC00507 ATP7B","Inh L1-6 SST NPY","Inh L2-5 VIP BSPRY","Inh L1-2 SST PRRT4","Exc L5-6 FEZF2 CFTR","Inh L5-6 VIP COL4A3","Inh L1-2 VIP SCML4","Inh L3-6 PAX6 LINC01497","Exc L6 FEZF2 PDYN","Inh L1 LAMP5 PVRL2","Inh L1-6 VIP SLC7A6OS","Inh L2-5 VIP SOX11","VLMC L1-5 PDGFRA COLEC12","Exc L3-5 RORB LAMA4","Inh L1-5 VIP LINC01013","Inh L5-6 SST FBN2","Inh L1-5 VIP CD27-AS1","Exc L3-5 FEZF2 LINC01107","Inh L5-6 SST DNAJC14"
"11","10",0,0,0,0,0,0,0,0,0,0.108238919501673,0,0,0,0,0.100916455021773,0,0,0.0742210286231117,0,0,0,0,0,0,0,0,0,0,0.00463342278284279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000555813852990194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000462906613524613,0,0,0,0,0,0,0,0,0,0,-4.29155878384408e-19,0,0,0,0.00961614804207316,0,0.0491534532971297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0023471289319976,0,0.465807687639507,0.0503282820929952,0,0,0,0,0,0,0,0,0,0,0,0,0.133718753600383,0,0,0,0,0,0,0
"12","11",2.93816250984032e-09,0,0.00156217785368834,0,0.168401562524635,0,0,0,0,0,0,0.0664605031753598,0,0,0.174223585799089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.87421822968702e-10,0,0,0,0.174524764767791,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.374661166426717,0,0,0,0,0,0,0.0398481608061529,0,0,0,0,0,0,0,0,-1.37983999290718e-17,0.000315935146092791,0,0,0,0,2.23515503616613e-09,-4.01417714109159e-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.13639739156983e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.74234352251831e-09,0,0,-4.1104700880484e-18,0,0,0,0,0
"13","12",0.871119039592832,0,0,0,0.123172125144285,0,0,0,0,0,0,0,0,0,0,0,0,0,1.42318573074628e-05,0,4.04503937690386e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.65478759671854e-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00569276867597695,0,-1.61750752278547e-17,0,0,0,0,0,0,0,0,0,0,1.83472959889542e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"14","13",0.194096969390769,0,-4.73414054448984e-18,-1.22050050808244e-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.08572722745774e-17,0,0,0,0,9.6935463622987e-19,0,0,0,0,0,0,0,3.51331503022421e-05,0,0,0,0,0,1.15044323881141e-18,0,0,0.332427572979549,0,0,0,0,0,0,0.000113982996750164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.02715963530643e-17,0,0,0.0898136572438687,0,-4.49483860544213e-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000202724476574165,0,0,0,0.152472710615718,0,0,0,0,0,0,0,0,0,0,0.000195918681525039,0,0,0,0,0,0,0,0,0,0,0.230641330464944,0
"15","14",0.772210724586709,0,0,0.227789275413291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"16","15",0.554959575644995,0,0,0.00911374480500077,0,0,0,0,0,0,0,0,0,0,0.0750252472934866,0,0,0.0695243135426371,0,0,0,0,0,0,0,0,0,0,2.90712068123737e-08,0,0,0,0,0,0,0,0,0,0,0,1.29535237662668e-20,0,0,-8.29773068822971e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.83653070716721e-06,0,0,-9.61782500209935e-19,0,2.00755077648691e-18,0,0,0,0.15364118487356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0306283215236785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.1766155854264e-07,0,0,0,0,0,0,0.107105429053169,0
"17","16",0.788015090471788,0,0,0,0.0810850004440663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0252368983034778,-4.63015358550132e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00359961983128985,0.00160055181042584,0,0,0.0999255666717818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000471693743574082,0,0,0,0,6.55787235967798e-05,0,4.81777754191246e-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18","17",3.63875116926369e-18,0,0,0,0,0,0.263255325541464,0,0,0,0,0,0,0,0.0924741683341816,0.10719157299406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0489687800489113,0,0,0,0,0,0,0,0,0,0,-2.2597410571015e-17,0,0,0,2.24682376532917e-18,0,6.68727841461549e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.482251592682717,0,0,0,0,-7.52599427283015e-19,0,0,0,0.005839978306251,0,0,0,1.85820924140958e-05,0,0,0,0,0,0,0,0
"19","18",0,0,0,0,0,0,0,0,0,0,0,1.17408180434593e-06,0,0,0.467542376104421,5.13316411098019e-18,0,0,0,0,0,-1.59373583719469e-17,0,0,0,0,0,0,0,0,0,0,0,0,-2.19780224927706e-19,0,0,0,0,0,4.39736833293097e-05,0,0,0.0904110525426448,0.0200974956779845,0,0.135284411645325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0173632878025556,0,0,0,0.252060069941624,0,0,0,0,0,0,0,0,0,0,0.0158886200683093,0,0,0,0,0,0,0,0,0,0.00130753845200193,0,0
"20","19",1.29784431584951e-17,0,3.57120442794413e-18,-1.87124541807522e-17,0,0,-1.12345115348918e-17,0,0,0,0,0,0,0.202159573707417,0.311074289364263,0,0,0,0,-6.88090815356916e-19,0,0,0,0,0,0,0,0,0.121505550352436,0,0,0,0,0,0,0,0,0,0,0,-1.96981282018056e-18,0,0,1.51365959705145e-05,0,0,-4.1955875232289e-18,0,0,0,0,0,0,0.000126570465771348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.276880421496514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.72940118330115e-18,0,0,0,3.84737727871328e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.70573764179871e-05,0,0,0,0,0,0,0.0881829268684242,0
