"","cell_ID","Fibroblast","B_cells","Mac_Mono","Plasma","Endothelial","T_cells","Alveolar_type_2","Alveolar_type_1","Mast","DCs","Neutrophils","Club_cells","Ciliated_cells"
"61","60",0,1,0,0,0,0,0,0,0,0,0,0,0
"62","61",0,0,0,0,0,0,0,0,0,0.743930689713203,0.256069310286797,0,0
"63","62",0,0.886972496678186,0,0,0,0.113027503321814,0,0,0,0,0,0,0
"64","63",0,0.962437106801635,0,0,0,0.0375628931983652,0,0,0,0,0,0,0
"65","64",0,0.704702218079439,0,0.143656317828802,0,0,0,0,0,0.151641464091759,0,0,0
"66","65",0,0.442543367996544,0.443508169201806,0,0,0,0,0,0,0,0.113948462801651,0,0
"67","66",0,0,0,0,0,0,0.690183495143451,0,0,0,0,0,0.309816504856549
"68","67",0,0.951558759982747,0,0,0,0.0484412400172529,0,0,0,0,0,0,0
"69","68",0.337541586210271,0,0.662458413789729,0,0,0,0,0,0,0,0,0,0
"70","69",0,0.293634805909251,0,0,0,0.706365194090749,0,0,0,0,0,0,0
"71","70",0.311402056421613,0.413432844624596,0.199121572386986,0,0,0,0,0,0,0,0.0760435265668053,0,0
"72","71",0.334760235711943,0.609724798516795,0.0555149657712615,0,0,0,0,0,0,0,0,0,0
"73","72",0,0.868207214625982,0,0,0,0.131792785374018,0,0,0,0,0,0,0
"74","73",0,0.698225292555519,0.301774707444481,0,0,0,0,0,0,0,0,0,0
"75","74",0,0.00470114228847724,0.4197134112802,0,0,0,0,0,0,0.575585446431323,0,0,0
"76","75",0,0.11765922848642,0,0,0.495576896628646,0.29298202513011,0.093781849754824,0,0,0,0,0,0
"77","76",0,0,1,0,0,0,0,0,0,0,0,0,0
"78","77",0,0,0,0,0,1,0,0,0,0,0,0,0
"79","78",0,0,0.572432635138395,0,0,0.23976573155557,0,0,0,0.187801633306035,0,0,0
"80","79",0.543032125890487,0.40356415699869,0,0,0,0.0534037171108231,0,0,0,0,0,0,0
"81","80",0,0,0,0.16067399088232,0,0.83932600911768,0,0,0,0,0,0,0
"82","81",0,0,0,0,0,1,0,0,0,0,0,0,0
"83","82",0,0,0.979514145580086,0,0,0.0204858544199144,0,0,0,0,0,0,0
"84","83",0,0,1,0,0,0,0,0,0,0,0,0,0
"85","84",0,-2.72147838743887e-19,0,0,0,0.187927606947239,0,0,0.812072393052761,0,0,0,0
"86","85",0,0.564226577911247,0,0.435773422088753,0,0,0,0,0,0,0,0,0
"87","86",0,0,0.517726910706044,0,0,0.482273089293956,0,0,0,0,0,0,0
"88","87",0,0.53745221296681,0.46254778703319,0,0,0,0,0,0,0,0,0,0
"89","88",0,0,0.623457159386197,0,0,0.376542840613803,0,0,0,0,0,0,0
"90","89",0,-4.87839201739896e-20,0,0,0,0.232832504718481,0,0,0,0,0,0.767167495281519,0
"91","90",0,0,0.820288151903995,0,0,0,0,0,0,0.0302264187358935,0,0,0.149485429360111
"92","91",0,0.565110492156884,0,0,0,0.12581298464687,0,0,0,0,0.309076523196246,0,0
"93","92",0,0.0244413199392334,0.897199241477986,0,0,0.0783594385827806,0,0,0,0,0,0,0
"94","93",0,0,0,0,0,0,1,0,0,0,0,0,0
"95","94",0,0,0.406797361364604,0,0,0.159830938469564,0,0,0,0.310057483351203,0.123314216814629,0,0
"96","95",0,0.625488436094855,0,0,0,0.0265491031277001,0,0,0,0.347962460777445,0,0,0
"97","96",0,0.53548881583159,0.262640531294488,0,0,0,0,0,0,0.201870652873922,0,0,0
"98","97",0,0.427641403585233,0,0,0,0.0484159519179599,0,0,0.523942644496807,0,0,0,0
"99","98",0,0,1,0,0,0,0,0,0,0,0,0,0
"100","99",0,0,0.796139165617102,0,0,0.0829579090142285,0,0,0,0.12090292536867,0,0,0
"101","100",0,0.376077684188759,0.426352244727646,0,0,0.197570071083594,0,0,0,0,0,0,0
"102","101",0,0.670734900970446,0.329265099029554,0,0,0,0,0,0,0,0,0,0
"103","102",0,0.502985703669625,0,0.352331013899505,0,0,0,0,0,0,0.14468328243087,0,0
"104","103",0,0,0.472866141938625,0,0,0.244745447739194,0,0,0,0,0.282388410322181,0,0
"105","104",0,0.73916984832852,0,0.26083015167148,0,0,0,0,0,0,0,0,0
"106","105",0.779200109062239,0,0,0.168900080954198,0,0.0518998099835638,0,0,0,0,0,0,0
"107","106",0,0,0.66451780958063,0,0,0,0,0,0.33548219041937,0,0,0,0
"108","107",0,0.971553001383117,0,0,0,0.0284469986168828,0,0,0,0,0,0,0
"109","108",0,0.295874176608894,0.197038474391713,0,0,0,0,0,0.507087348999393,0,0,0,0
"110","109",0,1,0,0,0,0,0,0,0,0,0,0,0
"111","110",0,4.82763391609389e-05,0.992595809087565,0,0,0,0,0,0,0,0,0.00735591457327441,0
"112","111",0,0.0700341213096753,0,0,0,0,0.929965878690325,0,0,0,0,0,0
"113","112",0,0.000187424615503672,0.187830096686789,0.140359438045793,0,0,0,0,0,0.671623040651914,0,0,0
"114","113",0,0.33170637710835,0.644994096721528,0,0,0.023299526170122,0,0,0,0,0,0,0
"115","114",0,0.0231153170481251,0,0,0,0,0,0,0,0.976884682951875,0,0,0
"116","115",0,0,0,0,0,0.270916488513911,0,0,0,0,0.475376023161044,0.253707488325045,0
"117","116",0,0,0.11299965947162,0,0,0.486979859595291,0,0,0,0,0.400020480933089,0,0
"118","117",0,0.667407359815729,0,0,0.164861168106195,0,0,0,0,0.167731472078076,0,0,0
"119","118",0,0,0.547858075671952,0,0,0.131640300991273,0,0,0.320501623336775,0,0,0,0
"120","119",0,0,1,0,0,0,0,0,0,0,0,0,0
"121","120",0,0.390408821926846,0.229229275644821,0.21105579509865,0,0.169306107329683,0,0,0,0,0,0,0
"122","121",0,0,0.900203374845678,0,0,0.099796625154322,0,0,0,0,0,0,0
"123","122",0,0.895162721630724,0,0,0,0,0,0,0,0,0.104837278369276,0,0
"124","123",0,0,0,0,0,1,0,0,0,0,0,0,0
"125","124",0,0.0404510902309544,0.959548909769046,0,0,0,0,0,0,0,0,0,0
"126","125",0,0,0,0,0,0.744084300950627,0,0,0,0,0.255915699049373,0,0
"127","126",0,0.730506668215047,0.269493331784953,0,0,0,0,0,0,0,0,0,0
"128","127",0,0.569882546173941,0,0,0,0.126870447832691,0,0,0,0,0.303247005993369,0,0
"129","128",0,0.238243023884037,0.761756976115962,0,0,0,0,0,0,0,0,0,0
"130","129",0,0.0191497193682386,0,0.34944068100987,0,0.482018008457807,0,0,0,0,0.149391591164085,0,0
"131","130",0,0.633893684899084,0,0.366106315100916,0,0,0,0,0,0,0,0,0
"132","131",0,4.03634688236947e-20,0,0,0,0.454353627193391,0,0,0.545646372806609,0,0,0,0
"133","132",0,0,0.270861806305945,0,0,0.379200449070119,0,0,0.349937744623935,0,0,0,0
"134","133",0,0.833879900129997,0,0,0,0.166120099870003,0,0,0,0,0,0,0
