,0
0,0.29803048299618173
1,0.511552281128486
2,0.4432538266347535
3,0.13693319977598484
4,0.1578886957699684
5,0.876759856942232
6,0.7672888960948545
7,0.30130231610689373
8,0.5916695310302764
9,0.8125548961176206
10,0.8280747452677649
11,0.971462461069151
12,0.8880430650900294
13,0.5430360343472378
14,0.44349848297348715
15,0.7741897300099884
16,0.7587539614790322
17,0.39082146825485253
18,0.4166701782086572
19,0.7692164135515167
20,0.6210724964014591
21,0.9510003800459434
22,0.8742707426125128
23,0.6509874720874567
24,0.935357339367282
25,0.8209059200081789
26,0.43929832249296236
27,0.10753172009707476
28,-0.019928437099454816
29,0.04641089567921033
30,0.4363825192085643
31,0.7365210755543568
32,0.6558145860909148
33,0.8459739517172569
34,0.7982855221088844
35,0.9411500416699572
36,0.9537541223973268
37,0.9269668783571736
38,0.785871643024748
39,0.9139939881917764
40,0.7468977354680268
41,0.3044280747365567
42,0.6854632706081591
43,0.7836935135468649
44,0.49085177691808723
45,0.8596521807304446
46,0.9436651451486178
47,0.5111256953345973
48,-0.050625894005544944
